x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12
1,3,0,0,178880.23231461,205622.69572877,111495.09642963,171675.43482225,190698.03395704,1650027.8737436,423509324.38015,23918243449.336,430356468199.45,396172352003.23,155816464011.43,14178967932.157
1,3,3.5886287625418,3.5886287625418,439208.55803411,697312.78951184,388384.46854597,601024.35127989,668347.44746776,5402132.6322122,1374176963.6562,78082294355.763,1418443651403.2,1332226468809.3,554022730528.92,53428583531.657
1,3,7.1772575250836,7.1772575250836,774739.55145954,1306851.1646068,732595.74641096,1136385.1574991,1264512.2186222,9293309.8807037,2330463677.5948,132599809408.24,2412494307040.5,2271719361929.4,950562863894.75,92219342156.597
1,3,10.765886287625,10.765886287625,1189796.5177497,2042108.0077327,1148505.1244757,1784518.242304,1986685.6352212,13331714.731693,3292455891.5209,187471765047.37,3412525883119.7,3214761025960.3,1345641911791.3,130586449760.01
1,3,14.354515050167,14.354515050167,1899209.9940721,3277161.8005286,1845717.6388376,2871019.3303201,3196663.3803745,17920101.267753,4268120994.2233,243046949900.52,4424456248673.6,4168178518047.4,1744779226609.5,169323366580.16
1,3,17.943143812709,17.943143812709,2920154.6152368,5049049.0906608,2845261.169011,4427951.58524,4929667.0382394,23082492.639401,5253621132.16,299129218747.37,5445514960409.2,5130152777586.7,2147480649024.2,208405180828.37
1,3,21.531772575251,21.531772575251,4264037.1113713,7377725.2395198,4158400.9757381,6472836.290903,7205180.8433069,28838335.7146,6248764267.6948,355708050199.88,6475523711265.1,6100521865861.9,2553680926868.6,247825699451.48
1,3,25.120401337793,25.120401337793,6618084.5995858,11452238.67771,6455211.771542,10048196.321224,11182348.083147,36428607.703968,7266365257.0144,413434190307.29,7526375459516.4,7090517748598.6,2968093829773.9,288043024507.39
1,3,28.709030100334,28.709030100334,10095836.432151,17469635.636546,9846817.7390594,15326760.740702,17052426.016955,46032292.597837,8301474216.0048,472018991942.15,8592833994321.1,8095214935334.9,3388660332087.1,328857516158.94
1,3,32.297658862876,32.297658862876,14726137.300252,25479650.121577,14361210.642456,22351968.522292,24863504.177204,57695417.814096,9353125610.1951,531404231423.89,9673839182493.7,9113614778405.9,3814962439257.9,370228611978.66
1,3,35.886287625418,35.886287625418,22693158.870024,39257320.333848,22125255.962014,34431553.255456,38289849.975149,75274631.032184,10441121101.554,592451751825.03,10785036769988,10160455061309,4253169165614.9,412754986658.84
1,3,39.47491638796,39.47491638796,34659445.523611,59944091.491526,33781231.634776,52562080.412453,58435959.509457,99887448.592285,11559961210.867,654768655473.37,11919261099303,11228984518342,4700454357308,456162369898.55
1,3,43.063545150502,43.063545150502,50692842.798391,87655435.878775,49393811.687583,76843015.347607,85410854.658968,131636737.96814,12707320547.126,718214728544.57,13073958333349,12316797144140,5155810850187.8,500353019633.22
1,3,46.652173913043,46.652173913043,77702533.457349,134315373.45614,75677234.675203,117705610.18419,130788648.73364,182557974.08441,13916426066.937,783843920987.33,14268174388140,13441828900466,5626745563484.3,546055414159.95
