x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18
1,3,0,0,1976.5072673179,130480.42075329,256123.9964639,52909.172230253,82184.956006426,69659.3260022,181207.838493,1691046.3951063,437835620.79837,24761146599.241,151689905646.27,301230441602.74,271355637901.03,148307283029.89,97721276945.156,67098428255.11,11298396897.552,3702090313.4299
1,3,3.5886287625418,3.5886287625418,3517.7985858365,330683.59311198,880761.34089501,185091.69580422,288798.31112499,245057.64033767,637667.93162812,5535293.303491,1420304008.7231,80736203129.882,497245296102.51,994557967928.43,906142171058.4,505308599050.73,342495270227.93,244772403598.3,42348614177.473,14286458279.596
1,3,7.1772575250836,7.1772575250836,5764.4657592727,591570.48251798,1666717.2097163,351361.71345225,549103.90276133,466202.5481158,1213231.1093797,9520227.2883417,2408304179.5543,137050963181.29,844923467350.54,1691882084950.4,1543895988138.4,863063121497.21,586849589824.15,421192953864.28,73082349198.739,24713446387.822
1,3,10.765886287625,10.765886287625,8755.3207969053,916761.4977224,2624670.1196462,553966.18765861,866593.19172616,736050.16011405,1915553.5178944,13654263.713198,3401940130.6268,193708358898.39,1194734903690.3,2393224658176.4,2184661548797,1221638360598.2,830876844310.97,596475489432.67,103524443752,34994427766.832
1,3,14.354515050167,14.354515050167,14445.978153604,1484113.7806099,4263447.1533231,900099.61411235,1408478.2850268,1196429.904991,3112519.9491134,18350489.887413,4409701763.0367,251111722733.11,1548932169923.6,3102899286076.4,2832605925609.8,1584013190200.1,1077366824212.1,773444880290.63,134241282434.28,45377562643.92
1,3,17.943143812709,17.943143812709,23125.042631999,2312439.2494636,6641852.8098397,1402213.5949255,2194085.5774896,1863632.6217305,4845265.2293715,23639845.71137,5427716087.0474,309046115517.11,1906359859194.9,3818995293220,3486377365148.1,1949630813768.4,1326054133976.1,951986305113.88,165230370079.83,55852722870.024
1,3,21.531772575251,21.531772575251,34937.217152287,3412167.9858633,9789191.3385704,2066483.3850183,3233046.5664424,2745816.5067532,7134813.3143212,29543394.82549,6455779360.6496,367499900284.94,2266951786624,4541386812385.7,4145865735797.5,2318431817272.8,1576899509545.3,1132072334962.2,196487027942.88,66418329984.509
1,3,25.120401337793,25.120401337793,57042.315121573,5373064.2073762,15372808.951476,3244460.1809521,5074385.2964192,4308641.1242393,11185694.784787,37359044.626232,7507193550.6156,427144599779.39,2634867138687.6,5278432985678.1,4818722242077.5,2694704295643.6,1832824586602.8,1315803836518.7,228376239165.96,77197804233.228
1,3,28.709030100334,28.709030100334,91381.089923325,8308777.8199876,23701678.958169,5001075.7346751,7819003.203256,6637343.6403487,17216109.063349,47292824.413578,8576811019.9763,487679050150.49,3008261008685.5,6026450778728.7,5501593278113.8,3076576511048.6,2092558125003.4,1502269326032.9,260739955006.35,88137678197.796
1,3,32.297658862876,32.297658862876,138502.04931159,12248939.080981,34854968.637012,7352941.961654,11492660.030488,9753656.2147555,25281461.906429,59398036.475627,9663636430.7153,549042895843.42,3386761220738.1,6784694875090.3,6193798624437,3463668153261.1,2355841492947.3,1691283153575.5,293545956317.1,99227060289.99
1,3,35.886287625418,35.886287625418,224542.04332473,19134657.162394,54256167.035288,11442458.696029,17876958.303909,15167077.111299,39275603.316332,77780995.910599,10788343741.77,612128945301.17,3775859639705.4,7564163885858.5,6905378258179.9,3861593612327.8,2626493345085.8,1885586771530.1,327270061574.21,110626790820.58
1,3,39.47491638796,39.47491638796,360567.00018959,29611059.660558,83647402.837789,17635521.065951,27540052.277828,23357364.364303,60426013.619839,103684631.45984,11945335910.957,676530376732.88,4173042105349,8359820298086.1,7631733233147.8,4267781074052,2902764448016.2,2083924394224.1,361694312687.07,122263193306.64
1,3,43.063545150502,43.063545150502,548644.91541006,43759199.56549,123229569.19389,25973993.107855,40546186.190346,34378281.151762,88866825.938682,137235834.36688,13132227255.796,742101995853.06,4577412461133.5,9169868724702.2,8371224495929.8,4681313947443.3,3184031373007.7,2285848454738.4,396741028040.12,134110009118.85
1,3,46.652173913043,46.652173913043,883722.05014067,67924210.610747,190482829.41713,40135497.19029,62620561.43715,53074043.763188,137050954.71223,191422541.09373,14384136269.844,809936652236.78,4995660185689.4,10007697525711,9136070529098.2,5109023988285.8,3474940431051.6,2494694398289.5,432989100539.14,146362924696.58
1,3,50.240802675585,50.240802675585,1422465.7613141,105243987.90376,293787485.89963,61878407.796345,96489560.890698,81744460.43982,210841836.92892,272255944.38909,15700553993.967,879583765430.49,5424981801291.5,10867684627303,9921137121374.5,5548039601770.2,3773538317879.1,2709059840422,470195117287.45,158939661154.18
1,3,53.829431438127,53.829431438127,2172697.035264,155920334.3307,433564570.8804,91288880.798809,142281670.57324,120494591.83308,310485012.66884,379950858.74334,17077027300.518,950775119443.57,5863722004585.8,11746513773083,10723396782649,5996667754612.2,4078673498541.5,2928118079678.3,508215592360.85,171791716130.58
1,3,57.418060200669,57.418060200669,3477626.3067157,240533456.4333,665524373.1155,140069996.01163,218174683.58281,184678467.83865,475270575.37417,555180030.69467,18585992299.865,1024796960661.5,6319653059085.4,12659715532582,11557015445432,6462827099874.8,4395730774539.1,3155734326600.8,547721323187.34,185145850620.58
1,3,61.006688963211,61.006688963211,5610836.2673622,373112379.5859,1026480393.6886,215933879.80445,336097765.541,284339905.59834,730681081.10759,824038541.59295,20251896791.268,1101230928661.8,6790091395011.8,13601888855310,12417054857446,6943754104967.6,4722829795294.3,3390558284838.4,588477906609.32,198922837051.02
1,3,64.595317725753,64.595317725753,8601845.6003243,554061166.32855,1516832861.5365,318951890.30069,496132038.92095,419528144.96455,1076710607.7117,1186368014.2287,22066772796.666,1179642294440.9,7272356731462.8,14567664731622,13298613746258,7436707941339.9,5058106379254.7,3631251647044.6,630253061460.39,213044157469.23
1,3,68.183946488294,68.183946488294,13683731.881057,849529303.15502,2311715050.7886,485842239.60748,755141623.30187,638164680.28146,1635240744.0535,1767477341.141,24209633996.223,1261524637484.4,7775167334033.5,15574387822480,14217489596282,7950513234966.2,5407559232760.1,3882119147337.3,673793740659.04,227762339865.53
1,3,71.772575250836,71.772575250836,22128037.833383,1319031029.9464,3563501789.3507,748454154.03753,1162221504.0922,981474487.09089,2510096276.8777,2673024508.0355,26803118835.12,1346598359919.4,8296387632254.9,16617680309964,15169655778978,8482910385985.5,5769648663074.7,4142053954302.7,718907679569.44,243012422705.41
1,3,75.361204013378,75.361204013378,34046082.577765,1962866368.3568,5269461854.5544,1106148730.8701,1716226464.5732,1448390726.9983,3697863323.4185,3898783547.0867,29829676829.036,1434209688301.2,8832006087591.9,17689511424581,16147782715144,9029801059998,6141587331990.8,4409055102620.3,765247592739.58,258677011479.58
1,3,78.94983277592,78.94983277592,53836901.571153,2991425734.2766,7970806224.5795,1672098473.5421,2591724488.3363,2185572514.3643,5568411309.7613,5821814963.2779,33776028585.146,1526128822308.5,9391473521416.6,18808457592238,17168721273285,9600580423653.9,6529755378035.3,4687697693220.9,813606985268.72,275024439695.75
1,3,82.538461538462,82.538461538462,87254873.42406,4648108246.0573,12270165337.049,2571864060.2503,3981317139.5586,3354123504.7928,8523148132.0253,8846436434.2262,39125005648.341,1622411260114,9973590786025.5,19971745061202,18229827662396,10193741024031,6933117144698.8,4977232806917.1,863855288792.81,292010679705.11
1,3,86.127090301003,86.127090301003,134719374.4293,6929857935.4975,18141832329.221,3799723735.7863,5875359758.6327,4945402676.3474,12536546746.022,12942928398.525,45818930818.599,1722110485103.3,10572660510363,21167996492092,19320726841541,10803484045746,7347729643669.1,5274830325581.7,915501361008.87,309469698941.72
1,3,89.715719063545,89.715719063545,211792339.40848,10497540970.388,27221915673.994,5696564130.7998,8796736714.2292,7396772195.5658,18698255778.538,19208891616.283,55205341862.411,1827484539200.3,11198427580520,22415725457698,20458017028928,11439012737008,7779824439735.9,5584949266189.3,969317544475.44,327662865514.75
1,3,93.304347826087,93.304347826087,344008958.4779,16319304697.403,41799427184.381,8737128790.7777,13468476232.551,11309574808.712,28482569722.644,29105732272.643,69007080031.926,1939379591077.5,11850705660301,23713268268216,21639794821322,12099163309495,8228574661962.9,5906977593475.5,1025195630217.7,346553968371.24
1,3,96.892976588629,96.892976588629,532947290.34608,24369333576.936,61720116830.573,12887453820.356,19834132002.998,16633714587.885,41744630916.788,42467899822.369,86975150709.603,2056410340034.4,12521715037941,25045234314716,22852070903767,12776128997427,8688676405315.4,6237110711712.1,1082475616611.4,365919843740.11
1,3,100.48160535117,100.48160535117,833098821.44995,36692716374.018,91787419250.583,19143099808.5,29408296814.986,24627783184.468,61562493573.009,62339371986.32,112714935136.24,2181847398152.9,13220416523462,26426901112972,24107996072225,13477058345573,9164918792966.7,6578748710596.7,1141743540746.6,385959346945.74
1,3,104.07023411371,104.07023411371,1356078865.5535,57054012357.013,140341367462.53,29221914991.044,44778719504.237,37424954128.365,93033601116.986,93644195981.394,151852232957.31,2318430812130.9,13946358954566,27853285877047,25401821170051,14198429016526,9654797626782.3,6930037445845.6,1202671537153.7,406562763680.48
1,3,107.65886287625,107.65886287625,2107818270.2972,85307244489.517,206580393490.4,42947973227.4,65654229731.141,54767526378.889,135419541167.8,135548788922.09,203238113064.33,2463899493874.4,14689330327864,29304869088752,26716017500471,14930515863343,10151726225141,7286262996706.3,1264443031198.2,427453768737.45
1,3,111.2474916388,111.2474916388,3276722828.0002,127666691779.13,304043729865.42,63104862525.101,96215455996.005,80093251261.554,196877959783.19,195880459242.46,275766221529.04,2623542374524.3,15454679768242,30785976022846,28052657835569,15673998593259,10655997925711,7647548210389.7,1327069923611.6,448638116612.61
1,3,114.83612040134,114.83612040134,5344865868.4726,198485110253.06,461632209593.63,95579814379.893,145171907475.12,120474198471.28,293584633562.44,289590507375.64,385633645046.13,2804116523471.8,16235473992209,32271575276484,29385679600347,16413492563705,11156866031787,8006031884225.1,1389172151453.2,469652156679.91
1,3,118.42474916388,118.42474916388,8334508111.2361,297047138932.41,675446688121.93,139517207454.79,211107608601.23,174657347783.72,421992148218.17,412765411303.36,527746817836.37,3000938532591.2,17019328463077,33740915931982,30697375082465,17139419092159,11647931649578,8357181035208,1449969512223.2,490230934390.69
1,3,122.01337792642,122.01337792642,12886668385.274,441810794440.9,981407726711.92,202203074157.04,304725136077.69,251280760174.27,601533931403.49,583093721263.92,720971577913.58,3222229310539.4,17800808578691,35170328882336,31962471776596,17836724178054,12118634976568,8693249220865.6,1508099790974.4,509917202397.35
1,3,125.60200668896,125.60200668896,21063320488.071,686514231547.27,1472755383447.5,302256897490.53,452655435102.53,371343182987.46,876458045605.1,838318296303.77,1002596955585.5,3479586389570.2,18544780021338,36466020888867,33088833514545,18452281831320,12532293045239,8987620544008,1558913468361,527144657130.84
1,3,129.19063545151,129.19063545151,32947899576.22,1027902976561,2131139431571.1,435645600038.52,648215261166.69,528936347944.78,1230708700973.2,1161740425407.3,1352616912304.9,3761175569816.7,19240789669660,37621863767164,34075235352895,18986525073310,12889594262785,9240993581099,1602553700220.1,541957663419.33
1,3,132.77926421405,132.77926421405,50675748197.925,1519222722180.2,3042843566395.4,619422230031.45,915357641230.73,742646774471.72,1701971877164.4,1584461126742.2,1800761448268.5,4075402734715.1,19857015201579,38555984023894,34841938979525,19393640353225,13158960528217,9430484657429.2,1635025923842.5,553010013949.95
1,3,136.36789297659,136.36789297659,82995867367.631,2358149659474.3,4473264454294.2,904327605956.12,1321155037388.5,1061681904940.1,2377317245167,2169399385858.7,2398017061812.2,4423679680177.7,20271394805473,38997719212103,35135024177802,19530005424413,13242155042466,9485286421869.3,1644010093407.1,556142531260.34
1,3,139.95652173913,139.95652173913,130220503069.79,3530539216600.8,6337345571993.6,1271600734990.2,1834732645605.8,1459345657508,3193407248260.3,2858602023557.1,3083264010139.8,4779626837675.6,20499272168831,39016584508118,35028480059317,19439471287055,13169815429721,9427801348634.8,1633437552862.4,552677088533.93
1,3,143.54515050167,143.54515050167,199259507903.32,5184111350031.1,8805501155590.5,1752761539014.2,2495276676936.2,1962867839565,4193922417185.2,3680837824985.5,3876807287278.8,5138163859052,20460447685169,38442037378607,34363836010996,19032661778637,12880864749519,9214027707110,1595654253594.1,540029941684.61
1,3,147.13377926421,147.13377926421,326984454963.84,8032878862217.6,12432114370552,2438157495647.8,3389795716455,2619499516302.3,5419723960981.1,4635044044800.6,4741550927016,5434515024694.2,19859819539842,36691899758827,32602887744402,18005688270637,12167444824439,8694095378387.2,1504583354032.4,509380444909.94
1,3,150.72240802676,150.72240802676,514561957956.79,12017243598589,16824560993906,3239275058856.4,4390705783029.8,3337116019301.1,6708656871897.2,5593448341095.4,5561601100568.8,5672266765259.9,18873916475084,34070483912511,30014564684123,16508531078913,11131363647465,7940914983141.7,1372790101320.5,465201638320.69
1,3,154.3110367893,154.3110367893,783426172663.22,17525096378970,22163430294583,4176694435481.6,5506307860507.1,4116110699644.1,8045778461830.6,6528169277328.2,6294516599813.5,5831520473752.7,17407063077137,30339614648894,26368085414964,14409386326907,9681915131078.3,6888758666989.6,1188761477894.5,403737110565.46
1,3,157.89966555184,157.89966555184,1288071867107.4,27084592048306,28291332270991,5043801847250,6546215764201.6,4804229884369.6,9126702903858.2,7049959539769,6526497751970.8,6787783213692,14970794640577,24285688176014,20667365713151,11146433562870,7397162050985.1,5172428092322.4,871287587043.54,289688319490.2
1,3,161.48829431438,161.48829431438,1704424640539.7,35101702934802,33510208391892,5754489640716.2,7409446639973.8,5371958627092.2,10004687237718,7422680192061.2,6637082371450.1,7699035461480.4,12705392487299,18946019511038,15701070368218,8322807580801.7,5431728865427,3708579756634.3,603500225906.73,194621650892.72
1,3,165.07692307692,165.07692307692,1959573506071.4,40313184305809,37323748300438,6255347389774.9,8035094998869,5783895193768.4,10636046203147,7649130138223.4,6654110860985.9,8423042826205.7,10831611045865,14974959150286,12090113057460,6299840197717.2,4046600697911.4,2704147159950.9,426547785520.94,134506204376.58
1,3,168.66555183946,168.66555183946,2158623195948.8,44579765331813,40736200278045,6720818181992.1,8617846094267.1,6172254201870.2,11242893026924,7893551037538.2,6707961288691.2,8984167925553,9190730878745.1,11536465962949,8966545235980.3,4555033037821.4,2857619701304,1848599526019.9,277581727815.44,84392794451.31
1,3,172.25418060201,172.25418060201,2140073996291.6,45181243200851,42592902329561,7049029158482.9,9034206208118.9,6469159984431.1,11754661540878,8207678120665.5,6904637573688.6,8913501208749.6,8453234015767.1,10163707685020,7733475989590.1,3889160728085.5,2429459270724.9,1570550619752.8,237169953168.51,73075534912.841
1,3,175.84280936455,175.84280936455,2121524796634.4,45782721069889,44449604381077,7377240134973.7,9450566321970.8,6766065766992.1,12266430054832,8521805203792.8,7101313858686,8842834491946.3,7715737152789.2,8790949407091.9,6500406743199.9,3223288418349.5,2001298840145.9,1292501713485.6,196758178521.58,61758275374.372
1,3,179.43143812709,179.43143812709,2071041206581.2,45362429139321,44989501040915,7494430588541.3,9635576710995.1,6911976147706.3,12557168753848,8728170755526.8,7259922714672.6,8835421954096.7,7441846450325.2,8302565569463,6074559793407.7,2995626671139.8,1854631465962.7,1195283579013.7,181666769406.72,56943180204.292
1,3,183.02006688963,183.02006688963,2020403904649.5,44937219057712,45523059435705,7610605323299.5,9819473529340,7057159732430.8,12846843555678,8934017611672.2,7418348338226.9,8828313881701.3,7170187253550.1,7818438548854.3,5652598299203.8,2770074191335.4,1709319020618.3,1098935849058.2,166697236454.32,52159382324.918
1,3,186.60869565217,186.60869565217,1980118954801.4,44445499756364,45593213372664,7639757600946,9884561497919,7116924438441.8,12989430080253,9046869056172.4,7514149275647.8,8839966967428.4,7042335651219.4,7583423555140,5446546814000.5,2659852216428.2,1638346375066.2,1052021513664.1,159485047832.05,49920983819.084
1,3,190.19732441472,190.19732441472,1942661773404.7,43935613310796,45536787330935,7645139497060.1,9917196559718.5,7153356783996.9,13091839108290,9134318593062.5,7592844138014.8,8856744706048.2,6953765419475.8,7416454076573.4,5299471637453.1,2581133030510.4,1587679814434.7,1018610022112.4,154391795407.7,48377866925.255
1,3,193.78595317726,193.78595317726,1913090770666.6,43480694755237,45366122080074,7626259969917.3,9910689288751.4,7158238234491.7,13130344999518,9175839469207.6,7635095097105.9,8862898539219.2,6895376694235.4,7308688356927.5,5205002179147.2,2530659025828.9,1555219933125.1,997207903794.36,151123861532.86,47379657044.045
1,3,197.3745819398,197.3745819398,1889332141527.6,43066289346350,45111258766767,7589498974179.5,9875332828407.2,7139865635412.1,13121752172675,9183509408578.9,7650485698294.7,8861222203911.5,6859232734068,7244557758957,5149304869065.4,2501002650677.3,1536178974566.5,984657089377.51,149201247591.34,46783061591.225
1,3,200.96321070234,200.96321070234,1868411381149.9,42682810378165,44841212927186,7548639364035.1,9831747144786.8,7113985227335,13094741273492,9176178441830.5,7652448077924.9,8850896243052.1,6825750801286.8,7189926459298.6,5102917257213.1,2476520125904,1520521053210.2,974360861483.86,147625785509.31,46294416137.77
1,3,204.55183946488,204.55183946488,1852407834605.7,42352918074772,44544860117658,7500678028915.4,9773902573974.4,7075095936406.7,13035817129647,9142855200846.8,7631143195267,8825582958255.1,6796881399594.7,7151754723135.8,5072660686212.5,2461002402110.8,1510724966466.3,967971186349.8,146651838179.87,45992817117.699
1,3,208.14046822742,208.14046822742,1836948638055.6,42030575396858,44249493482056,7452636598049.5,9715418652429.1,7035420885399,12974224252774,9106968546875.8,7607217748417.7,8797844478890.8,6767444660450.7,7113975841625.6,5043072050830.1,2445909305773.5,1501221561710.2,961782356222.85,145709007089.14,45700493718.51
1,3,211.72909698997,211.72909698997,1824430516643.4,41749022681356,43959455057442,7404162416911.7,9653480375109.6,6991500441795.7,12898212446087,9057231998006.9,7569133623741.4,8757002886593.9,6734942646955.9,7078319519248,5017092212842.9,2433110434231.6,1493299491990.4,956678674003.39,144934294299.21,45458285683.081
1,3,215.31772575251,215.31772575251,1811912395231.3,41467469965854,43669416632828,7355688235773.9,9591542097790.1,6947579998192.4,12822200639399,9007495449138,7531049499065.1,8716161294297.1,6702440633461.1,7042663196870.4,4991112374855.7,2420311562689.7,1485377422270.6,951574991783.93,144159581509.28,45216077647.652
1,3,218.90635451505,218.90635451505,1800681328011.5,41208353680083,43393088986795,7309110365584.5,9530991808785.3,6903934293319.7,12743309238096,8953497310261.2,7487487004170.4,8668380311196.4,6666409993153.3,7004927861485.5,4964343657843.7,2407313242092,1477392366283.3,946455925796.7,143383897651.77,44972911077.469
1,3,222.49498327759,222.49498327759,1789523123437.7,40950507564320,43117537534656,7262639849253.1,9470520096503.7,6860304141941.9,12664254817331,8899257914469.6,7443614368062,8620206475659.8,6630179590405.5,6967074829122.8,4937530280852.9,2394303630294.6,1469403744520.7,941335988904.39,142608158820.24,44729690242.767
1,3,226.08361204013,226.08361204013,1778743871137.9,40701233272772,42850980080128,7217647127361.4,9411789186630.9,6817780458334.1,12586304094767,8845067055886.3,7399045196429.4,8570319627687.5,6592618573166.3,6927974244620.6,4909920416691.2,2380934511066.6,1461203823929.6,936084710094.75,141812728418.4,44480160552.639
1,3,229.67224080268,229.67224080268,1768100083585,40455023166552,42587637726006,7173182675290.2,9353680564507.4,6775652305738.3,12508747913174,8790893547985.7,7354227032997.7,8519820426097.1,6554581898785.9,6888427695424.6,4882025830836.6,2367436878074.7,1452928369968.5,930786480255.11,141010258835.71,44228375624.684
1,3,233.26086956522,233.26086956522,1757588229519.8,40212443003529,42329063477730,7129541658601.6,9296651976284.4,6734295465620.4,12432448651551,8737436302936.5,7309800861215.8,8469339348959.5,6516373154982,6848622254687.4,4853928476734.4,2353837599447.5,1444589825063.4,925447591715.36,140201612278.17,43974658366.699
1,3,236.84949832776,236.84949832776,1747194834863.8,39973122065555,42074770379090,7086639981643.2,9240593120464.9,6693631165526.2,12357277943416,8684622170382.2,7265726647834.8,8418874545263.8,6478009914828.1,6808584362435.2,4825649062661.6,2340147056031.2,1436194632554.3,920072196859.51,139387419586.69,43719206123.32
1,3,240.4381270903,240.4381270903,1736864434930.2,39735520454690,41822714986282,7044127130716,9185058122814.8,6653353022466.7,12282816346542,8632286703858.2,7222015750238.6,8368701969476.3,6439787988075.9,6768648076649.1,4797426259155.7,2326480436483.7,1427813095597.9,914705137377.43,138574466085.99,43464153714.508
1,3,244.02675585284,244.02675585284,1726669668946,39501620727380,41575477598358,7002451461196.7,9130651044296.9,6613906314197.7,12209881537269,8580981853262.2,7179087107933.4,8319158589657.8,6401870323238.2,6728930559766,4769325343872.9,2312865327422.9,1419460960414.9,909356024790.35,137764180687.19,43209962189.588
1,3,247.61538461538,247.61538461538,1716496863590.2,39268271396819,41328894011767,6960888202669.6,9076394577935.5,6574570789245.3,12137157017066,8529825823447,7136281035768.3,8269740212702.3,6364034269123.9,6689289674924.9,4741275510972.4,2299274210314.8,1411123313371,904016097229.43,136955281402.1,42956208137.317
1,3,251.20401337793,251.20401337793,1706506590830.5,39039496860105,41087744698398,6920259283081.9,9023389971377,6536159399023.7,12066180379901,8479906763858.1,7094493743461.4,8221360835938.6,6326876547931.8,6650285741145.8,4713650265187.1,2285882509787.4,1402906089002.1,898752513871.49,136157903232.43,42706090275.097
1,3,254.79264214047,254.79264214047,1696516318070.8,38810722323391,40846595385028,6879630363494.2,8970385364818.4,6497748008802.2,11995203742736,8429987704269.2,7052706451154.5,8172981459174.9,6289718826739.7,6611281807366.6,4686025019401.7,2272490809260.1,1394688864633.2,893488930513.54,135360525062.76,42455972412.878
1,3,258.38127090301,258.38127090301,1686720426086.4,38586554642598,40610547840569,6839869123036.4,8918528990865.3,6460178055592.1,11925813800767,8381200035448.4,7011872171613.4,8125664017757,6253328531106.6,6573050516939,4658934803023.8,2259355431953.6,1386627980928.7,888325104052.02,134578237668.4,42210599218.045
1,3,261.96989966555,261.96989966555,1676946701534.5,38362912333554,40375082108372,6800206833817.9,8866803562829.1,6422704060936.4,11856604807551,8332541391879.8,6971146574868.8,8078467680806,6217025753667.1,6534907339748.7,4631905602084.9,2246249286075.6,1378584926513.7,883172653994.73,133797671245.39,41965767111.158
1,3,265.55852842809,265.55852842809,1667326539928.1,38142820190091,40143414068208,6761186413507.9,8815920190364.6,6385843229613,11788541191575,8284695871350.7,6931107147344.9,8032061361150.4,6181318793986.2,6497381214020.9,4605310158145.9,2233352565832,1370670109910.6,878102236279.04,133029525832.78,41724834385.518
1,3,269.14715719064,269.14715719064,1657776057854,37924338942256,39913469239357,6722457242660.9,8765418902512.4,6349260622532.6,11720997293102,8237219307232.2,6891379070650.4,7986013513622.1,6145882187955.2,6460135076783.9,4578911532422.6,2220550872941.8,1362813481503.5,873069040923.13,132267016481.63,41485671012.902
1,3,272.73578595318,272.73578595318,1648333104028.2,37708321723291,39686125802841,6684166590305.3,8715490484400.8,6313093739911.3,11654224710483,8190287532170.7,6852109238103.8,7940497995838.1,6110853582794.7,6423316181087.6,4552815037361.8,2207895511085,1355046599287.8,868093314576.42,131513212115.7,41249238727.359
1,3,276.32441471572,276.32441471572,1639007521198.6,37494994081509,39461621880728,6646354596841.6,8666187374459.1,6277380635666.4,11588294047188,8143950414191.1,6813339595721.1,7895563535342.6,6076270325432.4,6386963635081.1,4527048328914.3,2195399874876.5,1347377678306,863180317744.69,130768909557.95,41015787522.748
1,3,279.91304347826,279.91304347826,1629741982814.1,37283039231426,39238561990885,6608785820668.3,8617201500441.7,6241897422789.6,11522788476203,8097912625166.1,6774821007297.6,7850920904697.3,6041911788551.3,6350847252854.6,4501448967387.3,2182985378514.8,1339758549456.4,858299217137.48,130029439046.59,40783851971.841
1,3,283.5016722408,283.5016722408,1620640146085.1,37074827080155,39019439025970,6571880137857.5,8569080519851.4,6207040972262.6,11458441851971,8052690909056,6736986877671.7,7807073901848.6,6008165916416.8,6315374733714.1,4476305850693.8,2170792097074.8,1332275170957.3,853505076526.97,129303142343.25,40556048610.345
1,3,287.09030100334,287.09030100334,1611551286278.4,36866911567012,38800627953377,6535026978425.1,8521028018290,6172234124709.3,11394186828400,8007533604332.8,6699206685482.5,7763289522501.5,5974468295698.3,6279952960215.4,4451198709853.8,2158616263704.6,1324802501212,848717796490.95,128577885003.02,40328571242.478
1,3,290.67892976589,290.67892976589,1602670890989.3,36663761322715,38586827196826,6499017567639.2,8474075580924.2,6138224111694.7,11331403300688,7963411020191.4,6662292957725.6,7720511142701.4,5941545797758.5,6245346377363.7,4426669494094.4,2146720720480.4,1317501859558.5,844040726434.19,127869324250.99,40106330717.557
1,3,294.26755852843,294.26755852843,1593790495700.2,36460611078418,38373026440274,6463008156853.2,8427123143558.3,6104214098680.2,11268619772976,7919288436049.9,6625379229968.6,7677732762901.2,5908623299818.7,6210739794511.9,4402140278335.1,2134825177256.1,1310201217905,839363656377.42,127160763498.96,39884090192.635
1,3,297.85618729097,297.85618729097,1585095805380.5,36261707126724,38163691881065,6427750887646.7,8381151298890.7,6070914324951.5,11207147326363,7876087318277.1,6589236602487.4,7635848749954.9,5876389639074.1,6176857589983.4,4378124605636.8,2123178702613.3,1303053443903.9,834784522010.22,126467039842.66,39666503254.369
1,3,301.44481605351,301.44481605351,1576434183965.4,36063559321972,37955152627734,6392627553995.1,8335354070586.2,6037741025141.5,11145908346932,7833050288108,6553231286579.1,7594123998940.3,5844278641129.3,6143104377143.9,4354200380714.8,2111576580177,1295932891391.8,830222827273.12,125775958261.61,39449744990.82
