x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,0,0,20.100768678873,1709.8409863844,20256.528900469,23908.062491845,25061.91795056,33482.33063097,16608.885483085,19036.308714115,30495.430957185,26372.582808916,30383.425332075,35311.047094329,40922.103010908,30915.730796261,248696.04713794,33978948.444789,735412982.59574,19013213685.306,151458559649.72,300799267364.3,270971336822.08,148098430513.7,97583605187.655,67004681645.386,11282707314.805,3696861665.8089
1,3,3.5886287625418,3.5886287625418,34.103569626476,3063.3641231794,45166.558012641,70893.781577749,85383.271257436,118089.70834518,58950.900724504,67717.851851246,108632.1878393,93985.254387944,108289.65728386,125816.38997008,145780.02475234,109885.13205317,817284.47663347,110189258.50945,2391327938.0555,62045540605.025,496507141091.05,993148692626.1,904868467747.49,504601802950.33,342015863708.97,244432601518.61,42290182302.809,14266401478.826
1,3,7.1772575250836,7.1772575250836,56.154187226504,5046.6655513458,79382.221854744,132290.95632994,163427.47879025,227885.04859744,113957.41747334,131023.57431914,210316.17289474,181999.57034798,209711.24932223,243616.33891724,282132.93297305,211966.33206449,1414096.6201168,186862578.637,4056938611.5407,105343294767.56,843690067377.57,1689509533533.6,1541745235177.7,861866112677.1,586034877896.27,420612971535.05,72982323380.431,24679024336.71
1,3,10.765886287625,10.765886287625,86.719315254625,7694.6354130504,123467.8223585,209106.04997889,260453.0301973,364612.46547095,182499.25606309,209953.46012292,337151.50343978,291803.48766678,336248.25345673,390571.4856169,452134.58424494,338742.9883227,2040963.0857931,264009636.14235,5732374134.4615,148908468636.62,1193017647808.5,2389903875078.8,2181646382509.8,1219958991045.7,829733279127.54,595661153599.28,103383957684.39,34946094001.788
1,3,14.354515050167,14.354515050167,148.92692589464,12761.42177971,205008.9141687,348588.96612442,435276.23646008,610343.0766115,305632.64980623,351725.85798736,564961.65009899,489027.53125888,563556.79620889,654612.74808759,757481.25699239,564950.919738,2785619.4193775,342410149.60135,7430699023.7298,193046004308.09,1546746787223.5,3098666044709.1,2828759700553.6,1581870349376.4,1075907374435.8,772405604318.76,134061993873.74,45315863751.474
1,3,17.943143812709,17.943143812709,247.90587235934,20516.295738144,328264.97299165,558699.90769272,698104.8679367,979283.83418319,490433.66222028,564432.35460678,906628.30360153,784748.59407744,904309.84555526,1050413.9033938,1215418.9284181,903561.15277071,3661265.4467163,421781898.72641,9145200656.578,237592256530.2,1903717061322.7,3813873806331.5,3481722849893.1,1947037393212.5,1324287610569.7,950728455726.38,165013388764.9,55778031507.361
1,3,21.531772575251,21.531772575251,385.87062348238,31092.995504013,495239.45453713,842847.06462264,1053193.4191579,1477383.8170117,739877.41126464,851491.17186983,1367627.4855426,1183697.0070881,1363944.6237633,1584265.7283837,1833197.4010191,1359900.8584104,4673784.8991607,502117826.83345,10875518390.219,282538409562.98,2263862143147.9,4535400757206.5,4140425154302.5,2315400392485,1574834505172.2,1130602120129.2,196233435846.57,66331009459.35
1,3,25.120401337793,25.120401337793,657.89999883663,50989.346651209,805611.23372574,1370056.9960074,1711280.5838697,2399565.2974651,1201535.4770989,1382585.1581506,2220147.4827328,1921230.2684187,2213359.1380817,2570411.7369531,2974170.1386331,2201412.6627705,6129628.8186636,584874958.8332,12642009983.565,328403579509.89,2631356255108.9,5271636578997.5,4812545876305.1,2691263205000.3,1830480430416.9,1314135206031,228088466163.79,77098670075.423
1,3,28.709030100334,28.709030100334,1098.7866792154,82029.610885534,1285503.8479426,2184352.3016843,2727053.1369876,3822038.3033046,1913480.0216837,2201412.9193037,3534084.9777589,3057659.4239125,3521846.2095763,4089041.5784725,4730364.3024986,3495223.8432177,8100541.082952,669766226.37418,14435758719.688,374955755910.34,3004348833568.6,6018885458100.4,5494719334838.2,3072747234619.9,2089949451522.4,1500412833149.9,260419838473.61,88027347256.935
1,3,32.297658862876,32.297658862876,1718.957129039,124728.81799,1942152.1930003,3297875.5587719,4115557.8837248,5765727.8801621,2886157.2584977,3319956.4909266,5328586.4987308,4609489.3669051,5308340.7886536,6162058.437858,7127031.3213143,5259862.3194377,10606675.076418,756745122.99582,16254998717.491,422148333390.09,3382466465291.1,6776399515880.7,6186262947295,3459470841742,2352982030681.2,1689248697838,293195219769.91,99106111218.208
1,3,35.886287625418,35.886287625418,2907.8858526039,203050.26315971,3134054.2247304,5316642.8038636,6631018.9443789,9284346.2006764,4646496.4537456,5343710.4124368,8573953.4729289,7415071.0105823,8537064.0317734,9907273.8484809,11455114.890012,8444039.2707287,14718890.659459,848941247.87185,18127916313.393,470670650805.39,3771222197149.6,7555221444323.8,6897257327610.8,3857071254560,2623412379360.3,1883395467032.1,326892380601.06,110496457904.77
1,3,39.47491638796,39.47491638796,4870.5239320172,327343.92711242,5007965.6554856,8487122.1451278,10578940.025567,14802890.815951,7406694.5146054,8516109.4614385,13659324.499722,11809994.805321,13593192.353928,15770144.959533,18227904.260454,13424536.138343,20855654.163963,946550721.8007,20043056733.429,520208391902.44,4168093589478.4,8350297017038.2,7623088254517.7,4262968102090.9,2899485445303.9,2081593162243.8,361292633170.8,122124466007.15
1,3,43.063545150502,43.063545150502,7655.6968397419,499592.13824065,7590033.3560758,12852799.214082,16012882.025299,22395346.807561,11203593.471777,12879298.474992,20651767.194174,17851897.184791,20542634.68786,23826586.667862,27532417.780254,20264967.301479,29086651.265778,1049502092.275,21996213381.95,570649406340.88,4572181324184.4,9159824381632.3,8362110746820.5,4676241469725.2,3180575538831.7,2283392587642.1,396318012415.29,133963781736.35
1,3,46.652173913043,46.652173913043,12851.478359682,807684.79682247,12161158.347783,20572027.811407,25613634.005109,35798902.163725,17904559.706646,20577257.062567,32982577.370878,28502557.178132,32788266.252033,38016703.147843,43912896.194565,32302059.918278,43158388.148431,1165997641.0522,24025663344.684,622836866645.42,4990203455402.7,9997252896618.2,9126599970049.5,5103755079670.2,3471350786557.6,2492144929325.6,432550152571.16,146211012601.88
