x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9
1,3,0,0,171472.61921151,425260.64922495,204490.93163941,1305984.4517062,569613877.6253,23102914834.351,795814199190.69,149697635717.39,13614962262.906
1,3,3.5886287625418,3.5886287625418,421036.78772545,1460315.6503363,714612.96055397,4335610.2531699,1848464156.8115,75579183634.898,2648803710673.6,531400406878.97,51240959430.181
1,3,7.1772575250836,7.1772575250836,742692.94555652,2746719.6720915,1349296.8049261,7616862.563466,3134878785.3808,128417384959.48,4510926286522.5,911411177853.57,88416331275.801
1,3,10.765886287625,10.765886287625,1140585.1998878,4300712.8284111,2116477.0942148,11165254.647056,4428975852.0401,181616582999.57,6382296418877.4,1289935547565.4,125175713166
1,3,14.354515050167,14.354515050167,1820645.2410821,6901495.4583303,3398425.2620852,15735399.084136,5741540565.4315,235467784652.07,8274976320129.6,1672488620253.6,162300415001.39
1,3,17.943143812709,17.943143812709,2799415.4378539,10621978.21178,5230724.2113923,21386418.775789,7067513506.6607,289805322693.66,10184642095316,2058467420900.3,199756973080.82
1,3,21.531772575251,21.531772575251,4087828.7925448,15502939.686839,7633362.5297526,28156037.672129,8406645618.3912,344619580721.64,12110968250960,2447807237639.8,237539193394.8
1,3,25.120401337793,25.120401337793,6344760.8096254,24010873.276708,11817781.050845,38398836.034711,9776612630.4664,400542311115.77,14076186292767,2845006765093,276084074508.2
1,3,28.709030100334,28.709030100334,9678981.5612138,36535770.718655,17973878.181868,52461961.060399,11170797547.498,457295359823.9,16070530901970,3248092910246.6,315200193512.9
1,3,32.297658862876,32.297658862876,14118155.512746,53174572.00815,26148660.96772,70431327.625184,12587910820.359,514822444947.05,18092023231572,3656665718656,354848738423.11
1,3,35.886287625418,35.886287625418,21756348.102557,81673075.336907,40138281.503627,99610413.752389,14055805957.988,573957161439,20169859077150,4076625597625,395602281534.87
1,3,39.47491638796,39.47491638796,33228760.511451,124289216.46504,61040848.417625,142056239.53603,15567345454.384,634319636676.66,22290660606865,4505268546378.6,437198418487.32
1,3,43.063545150502,43.063545150502,48600424.281986,181224456.36315,88951476.988652,197932359.29988,17119390636.662,695774285267.81,24449660757846,4941631059416.3,479543648846.28
1,3,46.652173913043,46.652173913043,74495288.632108,276600744.37955,135657014.42194,289725409.54976,18760025083.001,759340712895.65,26682384358012,5392891651966.8,523334544534.84
1,3,50.240802675585,50.240802675585,113994531.20659,421222682.39036,206397864.86237,427254408.72342,20489051643.141,824597737842.42,28973896968949,5856031169328.8,568278103433.02
1,3,53.829431438127,53.829431438127,167222867.53517,615332179.93793,301272274.25026,610623103.24209,22300421665.759,891294867955.4,31315394987172,6329270270257.4,614201655348.43
1,3,57.418060200669,57.418060200669,255024356.15676,933284685.60489,456467142.47098,908254811.28276,24293668005.155,960630249699.69,33748056345235,6820926854473.1,661912253587.38
1,3,61.006688963211,61.006688963211,390997648.02048,1421717305.7314,694499829.99318,1362018107.5496,26501718634.945,1032211093180.7,36257518185721,7328095110393.3,711127836170.37
1,3,64.595317725753,64.595317725753,575241566.14888,2079872617.8216,1014895180.8352,1970607196.3141,28913001518.732,1105631305369.8,38829532589020,7847895447633.1,761568966513.85
1,3,68.183946488294,68.183946488294,872953171.62989,3134023430.7175,1527169706.507,2938784863.5812,31769850530.392,1182275622153.9,41510016926319,8389594365284.7,814134500249.24
1,3,71.772575250836,71.772575250836,1340928649.6136,4772866609.4754,2321822534.4712,4432644091.2227,35232158159.244,1261873351543.5,44287276847039,8950817121669,868593688672.48
1,3,75.361204013378,75.361204013378,1978404598.4585,6988093910.8549,3394274390.361,6441559199.6651,39272397052.119,1343813603464.6,47140017453201,9527260623468,924528978197.67
1,3,78.94983277592,78.94983277592,2987866985.8763,10457040168.335,5069850440.3549,9564509455.0538,44532027476.832,1429716005904.4,50117263526195,10128793169811,982896917861.52
1,3,82.538461538462,82.538461538462,4598133179.1651,15907286498.012,7694139752.8084,14423594004.395,51623863093.936,1519592408822.4,53211450504695,10753845292781,1043544115921.5
1,3,86.127090301003,86.127090301003,6802890116.8218,23289401572.752,11240506486.157,20959301256.973,60457275451.274,1612559108111.5,56392465496646,11396335712775,1105880572714
1,3,89.715719063545,89.715719063545,10225714074.931,34587649473.372,16651604534.925,30869529301.03,72753972213.685,1710618128166.3,59708863062178,12065967208758,1170844888135.2
1,3,93.304347826087,93.304347826087,15765333036.15,52491976473.185,25187104815.126,46357923498.871,90642774679.334,1814407585843.9,63155762058369,12761615473787,1238324282275.3
1,3,96.892976588629,96.892976588629,23387712097.734,76754453554.265,36714269002.282,67133011711.602,113759827003.09,1922644999340.8,66692609872394,13475107988522,1307526334384.7
1,3,100.48160535117,100.48160535117,34993616370.42,113020895167.62,53872087702.909,97796333517.432,146573515248.24,2038073004493.9,70358960779887,14214152749008,1379191400234.8
1,3,104.07023411371,104.07023411371,54047011536.171,170818284068.64,81026590765.083,145662203499.8,195873408826.67,2162741734779.1,74140898317793,14975508263800,1452993578267.5
1,3,107.65886287625,107.65886287625,80389672538.291,248995967743.98,117562499055.81,209402546621,260129434415.9,2294634337762.1,77987518476583,15748990481632,1527947449306.1
1,3,111.2474916388,111.2474916388,119742270253.27,362971765466.59,170507182590.58,300674841677.16,350097614901.35,2437905398420.3,81909273413593,16536037318698,1604174734362
1,3,114.83612040134,114.83612040134,185262836789.38,544793634115.18,254044267907.12,441670481271.59,485098203053.43,2597500325601.6,85840199441849,17322142776582,1680237134605.9
1,3,118.42474916388,118.42474916388,276269675463.34,789337019805.74,365435516404.2,626662683209.1,658907258798.98,2769589202108.2,89727348334320,18097027081753,1755148527868.6
1,3,122.01337792642,122.01337792642,409704081935.41,1136201743578.2,521986161217.72,882134707229.52,894173335208.61,2960354815917.4,93508765329887,18846808339807,1827526460395.2
1,3,125.60200668896,125.60200668896,634971364894.85,1685592582373,765388516812.22,1266192129133.6,1236276344664.3,3178361971824.8,96942557676533,19520027540843,1892311985376.9
1,3,129.19063545151,129.19063545151,949267744168.99,2415202744693.4,1083808407108.4,1755722792511.1,1662056077443.9,3414719161916.4,1.0001456086887e+14,20115329720946,1949413827063.7
