x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15
1,3,0,0,1416.0929112173,102887.44479012,201259.34114498,114053.74544504,126860.19520464,255614.87467349,7822638.1284326,790435881.7987,7836412702.7718,61937105085.496,279090185452.86,123660311628.42,113998421773.2,25324571975.155,8642537382.6324
1,3,3.5886287625418,3.5886287625418,2529.7666419467,260712.97619998,692194.52807022,400382.59021714,446366.39075708,896984.31806534,25422519.319554,2571087625.0096,25635313723.764,203896751134.2,933462281719.14,429141172355.71,405620967235.22,87482024693.378,30952022581.518
1,3,7.1772575250836,7.1772575250836,4157.0295756975,466367.86747097,1309910.6798602,761059.80506963,849324.7875462,1700179.2463455,43268640.343381,4365118970.3723,43583574804.105,347055426428.46,1592326604201.6,735412107539.52,697351917465.68,149918482664.37,53272217105.598
1,3,10.765886287625,10.765886287625,6326.0681900779,722696.77332177,2062775.8268525,1200912.181875,1341094.7496993,2675555.4357192,61372452.301212,6172808144.889,61682661784.772,491421285648.25,2255760499774.5,1042567267499.4,989305619103.92,212645891125.19,75611370551.249
1,3,14.354515050167,14.354515050167,10458.291067274,1169579.455161,3349850.406886,1951211.303468,2179269.1720821,4321364.7993904,80344962.618108,8015601476.3466,80115946554.832,638342954537.82,2930415580436.7,1354528679436.7,1285485868267.9,276321380672.67,98260916386.732
1,3,17.943143812709,17.943143812709,16772.234368647,1821770.5878958,5217012.0251909,3038363.5692923,3392626.6876781,6690754.1764969,100141088.19913,9883999080.8614,98792391404.628,787182347105.27,3613807531381.6,1670487754722.6,1585418231918.7,340801717026.12,121194265436.41
1,3,21.531772575251,21.531772575251,25374.671068647,2687462.6250915,7687219.8739778,4475654.4109686,4995905.4103949,9811837.7473993,120777552.53197,11777456539.944,117706872116.22,937900718880.88,4305766937657.2,1990371541356.6,1889038938047.6,406073297299.09,144406909060.34
1,3,25.120401337793,25.120401337793,41510.89477451,4230417.091721,12067779.496748,7021475.1624682,7832843.0527145,15306869.096397,143855159.18865,13728620402.932,137170168861.41,1092975928469.9,5017696748604.2,2319471039579.4,2201389578126,473218798143.98,168285250109.87
1,3,28.709030100334,28.709030100334,66632.427792496,6539803.1427465,18600195.507086,10814461.939799,12056142.285291,23464290.038062,169465605.14619,15723745921.148,157045108703.88,1251320482062.5,5744626059934.6,2655501377670.3,2520315597543.7,541777126673.29,192665944282.41
1,3,32.297658862876,32.297658862876,101149.05801669,9638841.1147235,27346298.780585,15889961.556695,17704575.409155,34356679.262616,197639428.36218,17760132986.356,177304123792.47,1412714699038.8,6485546932099,2997997028160.4,2845375621488.2,611653513243.15,217515305596.95
1,3,35.886287625418,35.886287625418,164327.22938708,15052927.932684,42555018.292566,24705637.908935,27504880.220754,53201597.121419,232953051.40864,19884730130.058,198363848150.43,1580460203579,7255606344431.5,3353959114175.9,3183214495998.2,684276384815.61,243341342931.95
1,3,39.47491638796,39.47491638796,264407.0785166,23287862.130094,65587991.342657,38042195.129212,42316224.224361,81617823.088866,276510599.51731,22080589068.304,220038930663.81,1753074787540.5,8047997216429.5,3720241162603.6,3530846386262.4,759004061124.06,269915881130.54
1,3,43.063545150502,43.063545150502,402953.82245631,34406950.739504,96601385.449486,55986998.871717,62232469.530167,119774231.12619,328377551.83222,24341174999.741,242262454578.22,1930024710677.5,8860268927999.1,4095710339857.8,3887196141121.6,835605431277.98,297156733595.73
1,3,46.652173913043,46.652173913043,650333.2456694,53392347.10235,149277501.61383,86425529.947428,95973092.407709,184252122.93068,402272463.01054,26735068398.909,265552769334.29,2115381496697.6,9711076147387.3,4488985093599.7,4260441008082.2,915837816222.99,325688830497.79
1,3,50.240802675585,50.240802675585,1048913.9926299,82704231.009366,230164567.19398,133100607.65223,147644180.36686,282743608.32035,504072959.40633,29249455175.057,289705585899.33,2307490676917.1,10592806674141,4896544462406.4,4647238188809,998982422390.15,355256553215.39
1,3,53.829431438127,53.829431438127,1604682.991359,122499304.9029,339586726.27213,196183121.50535,217418040.99236,415516883.27461,633841890.66281,31872018444.205,314595857789.61,2505355251215.8,11500883079035,5316272456354.7,5045579401188.1,1084607540003.8,385706377776.34
1,3,57.418060200669,57.418060200669,2573383.9194047,188924060.6237,521110555.92117,300665400.56336,332808503.45333,634457872.06763,833325079.93002,34717128986.121,340849235402.17,2713778974598.7,12457244161370,5758295529535.3,5465067944232.6,1174775984101.2,417771858755.38
1,3,61.006688963211,61.006688963211,4160379.0166481,292971806.7801,803482478.26296,462897659.99796,511667317.29412,972702823.63486,1128345072.0248,37798755243.09,368282202581.6,2931186866124.6,13454588726485,6219229512170.3,5902487300344.1,1268795387962.7,451206765372.06
1,3,64.595317725753,64.595317725753,6388558.303624,434952208.11471,1186992272.8655,682962176.27621,753996268.73814,1429937955.3773,1518288989.9638,41095549694.025,396689017550.55,3155942605535.3,14485406867975,6695603227223.4,6354543201070,1365957646961.1,485759283137.43
1,3,68.183946488294,68.183946488294,10181832.123439,666721728.04614,1808464458.3424,1038873582.0264,1145177917.3708,2165382761.9868,2129200812.7812,44839675116.517,426827675785.63,3393540130572.3,15574577528337,7198872743065.6,6832085927725.2,1468590625851.2,522257183221.82
1,3,71.772575250836,71.772575250836,16498921.427204,1034885729.6689,2786784773.7643,1597773007.3408,1758005906.6219,3312311418.6284,3064574811.0871,49148722596.065,458601458115.91,3642767399679.1,16716261362418,7726303555713.4,7332502477687.7,1576129085082,560499409097.52
1,3,75.361204013378,75.361204013378,25427280.920961,1539648165.3418,4119720795.1084,2357948494.8471,2590137256.7461,4864678606.2215,4318465396.413,53982688832.397,491694093596.76,3901135545859.6,17899053464747,8272626663800.8,7850793740996.6,1687498751884.2,600103934343.57
1,3,78.94983277592,78.94983277592,40281153.023187,2345798519.7587,6229650527.7724,3558263787.5725,3900891611.9432,7298538356.3802,6262516434.8359,59894739973.004,527071758761.21,4174758276107.2,19150032091337,8850232335981.8,8398655308022.4,1805200962536.2,641960110721.48
1,3,82.538461538462,82.538461538462,65419850.612093,3643792601.9091,9586286913.1214,5461329697.3472,5972107607.2434,11119656215.593,9284539940.2374,67366368754.261,564868003712.21,4463088616352.1,20465691516648,9457374301474.4,8974367354411.6,1928853662022.8,685931909291.04
1,3,86.127090301003,86.127090301003,101177351.9244,5431103725.9345,14169154215.912,8053268357.0088,8786237757.7807,16287085059.635,13347610969.518,76298244515.021,604606580414.9,4762521447701.6,21829607108989,10086477634756,9570750003467.1,2056915422193,731471196518.59
1,3,89.715719063545,89.715719063545,159342744.52601,8224877429.3754,21253618732.529,12047096225.547,13108474432.099,24174183551.502,19506026612.487,88099952950.808,647661157133.51,5079622713329.5,23269217114745,10749883689507,10199346183442,2191833863013.7,779447946251.71
1,3,93.304347826087,93.304347826087,259356053.96889,12781983968.607,32621726250.486,18424639490.426,19976729721.205,36588978971.356,29117901236.449,104441629076.34,694754714075.4,5414716460859.4,24782698249451,11446338933340,10858765671740,2333271028338.9,829741461036.29
1,3,96.892976588629,96.892976588629,402491777.69166,19081647587.777,48151525895.751,27105614621.356,29291703368.895,53308767069.134,41988858619.708,124981185919.3,745131664452.42,5762748158024.5,26347477713584,12165494768019,11539232043488,2479134731909.4,881607846424.58
1,3,100.48160535117,100.48160535117,630258202.02522,28722537753.775,71582346197.271,40145766910.858,43221758487.46,78096551342.905,60939614670.664,153252042654.49,801024564158.58,6130254344016.3,27986717111342,12917209265469,12249687466210,2631266462070.5,935700907906.42
1,3,104.07023411371,104.07023411371,1028058571.5219,44644536835.155,109398061721.34,61038908883.434,65374693452.941,116959168231.23,90340945636.708,194420982876.84,864607276005.92,6518003436684.8,29694066185749,13697354719873,12985646834357,2788593542907.3,991637761735.23
1,3,107.65886287625,107.65886287625,1600753236.9615,66731017331.103,160967693260.58,89373815409.395,95247309149.481,168806466494.45,129267528903.14,247118665317.14,934461705912.68,6919077992536.5,31440579319640,14492922356952,13734954935385,2948541800123.3,1048503496798.9
1,3,111.2474916388,111.2474916388,2492650319.3497,99833903569.25,236814698289.71,130787499787.28,138624741580.81,243170668994.41,184609679698.84,319481580140.06,1014465959667.8,7338538139254.1,33234112653212,15305694297527,14498425092722,3111118359442.4,1106298450662.3
1,3,114.83612040134,114.83612040134,4074511223.3275,155147456478.01,359369908190.1,196940781689.16,207091789445.48,358013349351.73,268795150518.76,425297471929.99,1109803129788.9,7774481293841,35040941732316,16117185175846,15257185184203,3272019267285.3,1163488823122.1
