x,y,z,id,group1,group2,group3,group4,group5,group6
1,3,0,0,122970.91083774,857468.32585467,32065709.638027,1006524758.884,491821237542.03,28017308907.896
1,3,3.5886287625418,3.5886287625418,301821.22041412,2955526.9246737,104298801.31373,3289831834.2967,1673596048446.8,97398662880.663
1,3,7.1772575250836,7.1772575250836,532198.91721157,5539623.2036279,177675700.40744,5594203563.1485,2861154892431.6,166961154863.77
1,3,10.765886287625,10.765886287625,817062.48037181,8639889.9330252,252250546.54265,7919718103.8799,4054731868332.7,236725231117.14
1,3,14.354515050167,14.354515050167,1303480.9390151,13719651.187751,330893924.84409,10287843735.987,5267487359051.1,307551154796.2
1,3,17.943143812709,17.943143812709,2003107.8418347,20878427.269238,413389989.69925,12687741769.595,6495674531584.7,379271742348.54
1,3,21.531772575251,21.531772575251,2923714.6052317,30184147.427167,499806902.87514,15118814280.089,7739003705059.8,451870917087.48
1,3,25.120401337793,25.120401337793,4535065.2807612,46091253.308066,597470943.28655,17622821317.685,9017769214575.2,526536804149.02
1,3,28.709030100334,28.709030100334,6914096.2454545,69153519.654613,706509179.17183,20182655255.066,10323165689367,602757148717.46
1,3,32.297658862876,32.297658862876,10080345.455734,99500512.923106,826965897.68677,22794873442.556,11653402791542,680427465568.72
1,3,35.886287625418,35.886287625418,15524283.963679,150495840.18324,978458683.11704,25518957213.311,13035365437352,761117209788
1,3,39.47491638796,39.47491638796,23695843.22145,225491414.13163,1164454984.9356,28332892140.159,14456954531919,844119895942.71
1,3,43.063545150502,43.063545150502,34640491.002216,324630655.4064,1384762792.2056,31228198344.386,15913816879433,929181347666.16
1,3,46.652173913043,46.652173913043,53064832.071583,487519471.35471,1693516657.4392,34289653225.766,17439021834773,1018231170881.8
1,3,50.240802675585,50.240802675585,81150634.66587,730000115.78916,2109513419.4526,37498335429.99,19019029117357,1110478293637
1,3,53.829431438127,53.829431438127,118983097.88435,1051617467.3897,2631090008.6393,40837883376.29,20645713281256,1205448313947.7
1,3,57.418060200669,57.418060200669,181347468.23697,1568118082.8506,3408710071.0235,44441177046.889,22357884585181,1305403715586.3
1,3,61.006688963211,61.006688963211,277863634.17968,2345566023.7058,4521344654.7783,48313168253.333,24142523137575,1409582385076.6
1,3,64.595317725753,64.595317725753,408587967.68866,3379391889.815,5959798993.5534,52424425343.155,25986315195590,1517207176034.6
1,3,68.183946488294,68.183946488294,619687318.54498,5002206769.6785,8137685337.5587,57017837324.592,27933112166486,1630828662382.7
1,3,71.772575250836,71.772575250836,951290160.61084,7469195365.8839,11351498948.369,62185084747.763,29972403467952,1749826194296
1,3,75.361204013378,75.361204013378,1402802140.3163,10755188134.864,15558056720.968,67869831208.711,32084021479313,1873023322195.4
1,3,78.94983277592,78.94983277592,2117360589.23,15796393431.787,21867284553.911,74584243779.839,34315408732489,2003164095612
1,3,82.538461538462,82.538461538462,3256407880.9901,23524370427.092,31312082281.762,82701252990.867,36660029121937,2139843257883
1,3,86.127090301003,86.127090301003,4815274489.6225,33823118684.944,43708457016.319,92091511255.596,39088988867619,2281378489493.4
1,3,89.715719063545,89.715719063545,7234011577.0135,49259976798.635,61930031875.096,103921839952.08,41649969466151,2430487971001.1
1,3,93.304347826087,93.304347826087,11145779923.794,73073260492.081,89343895468.99,119421780859.62,44339334865506,2586884841733
1,3,96.892976588629,96.892976588629,16525777431.619,104773634818.25,125218653007.35,138225717785.86,47117775179330,2748292502480.4
1,3,100.48160535117,100.48160535117,24713056103.946,151166717212.97,176630350753.49,163009789555.5,50025384089628,2916895330170.6
1,3,104.07023411371,104.07023411371,38144260919.199,222968709599.73,253787590164.95,197415213894.58,53051622537076,3091862224572.2
1,3,107.65886287625,107.65886287625,56704987241.938,318224192906,353943688617.29,240271430214.55,56146905233985,3270366448772.9
1,3,111.2474916388,111.2474916388,84418430116.442,454161802263.34,493318065432.24,297406801495.81,59326258404452,3452944648405
