x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12
1,3,0,0,103083.26512454,118280.85592365,64305.648850226,99117.379875388,110189.90698326,994570.26034795,256892359.16004,14934013776.826,273552801768.56,252018783751.1,99118008589.054,9013199646.2184
1,3,3.5886287625418,3.5886287625418,253221.54437219,401218.45923084,224058.31293745,347068.97724738,386154.69746685,3254840.6172188,833549314.15561,48753309387.075,901654406856.31,847476666713.55,352433880754.97,33962210639.669
1,3,7.1772575250836,7.1772575250836,446839.01748079,752153.40279314,422759.35793198,656395.44863088,730698.15524379,5596018.2463407,1413618235.0713,82794019680.223,1533547723463.1,1445125666453.9,604690158217.63,58619717931.731
1,3,10.765886287625,10.765886287625,686437.89216069,1175629.8052302,662941.91673192,1031013.8704299,1148169.4462642,8022859.3431166,1997151078.7573,117056713494.9,2169243905860.6,2045035673268.2,856017318470.39,83008097570.441
1,3,14.354515050167,14.354515050167,1096315.0054619,1887593.1718626,1065916.2784849,1659534.8609985,1848371.5937385,10770076.359055,2588967912.2168,151758413716.71,2812507734721.5,2651550049886.6,1109928023525.7,107631773746.75
1,3,17.943143812709,17.943143812709,1686572.7742664,2909712.0236347,1644023.9916352,2560812.247136,2851969.2099656,13851323.103984,3186735167.8527,186776794267.47,3461577047179.1,3263510536712.8,1366107206094,132474805381.62
1,3,21.531772575251,21.531772575251,2463839.6467468,4253558.6750057,2403816.2203086,3745045.8678067,4170290.5563312,17277847.715343,3790335598.3705,222105292455.98,4116338450213.4,3880814060265.1,1624513329518.4,157533252871.5
1,3,25.120401337793,25.120401337793,3826412.0314202,6606799.049929,3733861.2171074,5817350.5726504,6476144.9272397,21770707.56389,4407505434.8842,258150436815.48,4784355796707.9,4510609334669.6,1888146524947,183098457030.45
1,3,28.709030100334,28.709030100334,5840542.0321112,10084128.909178,5698998.3656108,8878602.2288682,9881445.5837857,27434525.778668,5035235585.7387,294731935026.3,5462299058588,5149761592597.5,2155696339209.6,209043454570.36
1,3,32.297658862876,32.297658862876,8523100.4668985,14714574.753248,8315608.0063514,12954241.102007,14414378.754895,34296256.618996,5672938921.9761,331813414778.14,6149494028840.4,5797635262004.4,2426896746294.2,235342449819.73
