x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18
1,3,0,0,1134.9859331026,70652.854468444,33763.432324162,68885.722858168,23880.345168125,37278.053413515,31655.170900068,82286.493779046,47848.557440301,386762.31297171,256217860.98402,14897276929.114,272897477451.8,251482738668.48,58560781841.66,40203003163.843,6765785522.822,2211407741.7982
1,3,3.5886287625418,3.5886287625418,2018.5854225645,179147.34200909,111963.12031012,240385.27799255,83838.859227878,131153.22063611,111460.65404483,289848.17285491,168428.78838303,1263909.0732209,831347732.24052,48632253458.089,899430054059.14,845415958760.79,204986714251.52,146556613854.96,25343197424.267,8532458030.6223
1,3,7.1772575250836,7.1772575250836,3306.4874862604,320584.48367968,209717.15697356,456343.8185516,159440.97377513,249691.59799693,212295.77864814,552253.23864977,320480.84369897,2168141.1672435,1409857627.28,82587332100.483,1529728096242.6,1441525454569.2,351130685922.88,252138322752.82,43727617010.91,14758326087.633
1,3,10.765886287625,10.765886287625,5020.7548970688,496930.0974987,328412.79291311,719709.53090052,251713.73199574,394497.64559495,335523.61431816,873041.12384146,506032.82909534,3101020.8379644,1991798647.3985,116763120701.89,2163803914498,2039882361229.1,497050842045.54,357018812567.45,61934166346.652,20895878496.617
1,3,14.354515050167,14.354515050167,8276.0327595755,804750.74874198,532900.30557749,1170892.0397539,409709.76849248,642402.42877385,546484.73425717,1422090.3299038,822467.0470367,4140098.1113333,2581933121.9755,151376803645.46,2805438374582.4,2644859331910.8,644482302106.39,462924376910.52,80307321378.602,27094797475.384
1,3,17.943143812709,17.943143812709,13231.298610344,1254268.2729189,830939.91528937,1826993.1606924,639368.35823689,1002595.2639578,852925.46104156,2219281.1458942,1281113.2277056,5290365.5907195,3177937234.9206,186306485128.57,3452866589333.2,3255269525287.5,793231504094.09,569773427317.37,98843802184.899,33348796534.565
1,3,21.531772575251,21.531772575251,19968.657558037,1851163.1121385,1226303.9958265,2696285.2051174,943581.31124923,1479600.1482188,1258686.514145,3274557.2831571,1887660.7442194,6555770.785487,3779692393.1425,221545604569.34,4105975146122.8,3871010099935.4,943274272574.58,677549030023.44,117540720290.65,39656905865.921
1,3,25.120401337793,25.120401337793,32557.658185371,2915930.481964,1930945.8686652,4243183.7681827,1484742.4652101,2327756.4956478,1979937.3652938,5149110.8828245,2963581.3814764,8179605.4655519,4394782550.9842,257499621947.26,4772308616318.5,4499212662841.9,1096352604208.6,787504472108.02,136615720929.38,46092593482.706
1,3,28.709030100334,28.709030100334,52094.062150501,4510672.9239164,2985779.0748221,6556730.1017654,2293937.2931572,3595623.745616,3057864.799092,7949178.8732053,4569521.2451997,10201525.732574,5020199356.8946,293988627734.62,5448544593236.7,5136750108978.6,1251705509058.4,899093676932.34,155974139756.46,52623903856.644
1,3,32.297658862876,32.297658862876,78885.206655224,6651567.4394769,4401427.158651,9659932.2868397,3379190.1124456,5295721.5101962,4503078.9502252,11702101.862025,6721085.5678273,12632004.115469,5655356254.7832,330976336289.51,6134010499932.9,5782988418972.5,1409178506752.2,1012205689791.3,175596729410.27,59244343029.032
1,3,35.886287625418,35.886287625418,127732.20010743,10394613.291018,6875001.2333372,15076417.169212,5272989.6527572,8261409.5577131,7023487.5501516,18242859.273018,10468598.225537,16247363.141027,6311761220.9127,368999623529.61,6838634343290.4,6447286561367.6,1571052111672.4,1128478583575.3,195767661690.25,66049787300.987
1,3,39.47491638796,39.47491638796,204855.55969424,16091659.405983,10637836.061138,23308153.538539,8150478.8570182,12766128.395939,10850942.043401,28169572.49614,16153655.163252,21289918.96134,6986000583.7912,407813602583.89,7557870386308.3,7125358627674.3,1736281931380.1,1247162172850.9,216356794860.99,72996328283.643
