x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9
1,3,0,0,102071.91419388,251489.17193902,121488.16747898,818097.86540548,356373310.4102,14884755951.373,522306733501.82,98304977308.479,8934575292.1046
1,3,3.5886287625418,3.5886287625418,250737.4143024,863789.42186702,424632.98618388,2712704.8679581,1156415465.0249,48695736498.437,1738502361893.8,348975812642.28,33625173397.841
1,3,7.1772575250836,7.1772575250836,442455.59825274,1625198.2064405,802018.83997866,4757731.1111312,1961197070.6938,82740634053.555,2960697015592.8,598536126020.62,58020270599.228
1,3,10.765886287625,10.765886287625,679704.11749773,2545361.4931205,1258380.2224664,6962446.1467577,2770791025.1177,117018800660.43,4188965840876.9,847120959385.74,82142590678.805
1,3,14.354515050167,14.354515050167,1085560.1477288,4086929.6883054,2021739.2356089,9777808.4596026,3591917537.5529,151716839950.71,5431229899123.5,1098353488733.8,106504872375.23
1,3,17.943143812709,17.943143812709,1670027.7576687,6293681.5480669,3113566.1612945,13239258.616622,4421403502.7461,186728326860.06,6684649054725.2,1351837104915.6,131085057667.95
1,3,21.531772575251,21.531772575251,2439670.3374939,9189951.4871938,4545845.4347415,17369401.550733,5259092035.7304,222047070754.74,7949009558332.7,1607529284125.6,155879079124.93
1,3,25.120401337793,25.120401337793,3788877.2197792,14242769.113432,7042483.5613736,23576570.719349,6115977322.4302,258080357020.48,9238911641791.2,1868386158529,181173873813.86
1,3,28.709030100334,28.709030100334,5783249.9658512,21686233.041605,10718029.807556,32069868.058741,6987909695.3573,294648878949.33,10547942460904,2133111261609.9,206843757839.59
1,3,32.297658862876,32.297658862876,8439494.0211913,31578643.776003,15600896.093397,42901186.231185,7874080052.474,331716352156.87,11874802514088,2401441795171.8,232863248318.62
1,3,35.886287625418,35.886287625418,13013087.167222,48535930.020476,23963952.966206,60445840.8628,8791715129.0781,369820081974.82,13238666976155,2677255259025.4,259608331448.41
1,3,39.47491638796,39.47491638796,19886584.062052,73911347.432962,36468535.320648,85942798.891052,9736296445.3074,408715146048.34,14630751002679,2958775007469.8,286906727003.87
1,3,43.063545150502,43.063545150502,29099625.018161,107827864.29513,53173053.401745,119492679.9478,10705857809.816,448314133182.88,16047924025944,3245367938539,314697044100.68
1,3,46.652173913043,46.652173913043,44629945.311382,164689030.51401,81149020.974843,174592532.29565,11729886547.025,489274063610.36,17513521368225,3541752206122,343436767459.89
1,3,50.240802675585,50.240802675585,68333807.92697,250973809.44557,123554188.58208,257161949.41932,12808023809.248,531323281400.02,19017737599506,3845944444511.2,372933562719.07
1,3,53.829431438127,53.829431438127,100288824.73469,366839104.34649,180453752.53988,367275171.70702,13936495184.708,574300299673.79,20554791174763,4156775449094.5,403074054274.01
1,3,57.418060200669,57.418060200669,153032194.31219,556776012.19182,273604448.50733,546090505.71185,15175853247.01,618976640829.56,22151740524429,4479714371616.5,434388497627.67
1,3,61.006688963211,61.006688963211,234763921.46727,848787526.00802,416593423.83872,818888414.81224,16545756410.01,665098554518.73,23799162449295,4812853823221.8,466691890128.4
1,3,64.595317725753,64.595317725753,345554410.05815,1242471903.747,609160833.19776,1184933855.2244,18039057685.334,712404274013.33,25487699426570,5154301503255.2,499800740986.8
1,3,68.183946488294,68.183946488294,524681358.73792,1873518014.7472,917300673.57561,1767688015.3698,19802572978.744,761783912060.98,27247552422836,5510156442799.7,534306231960.02
1,3,71.772575250836,71.772575250836,806433117.16955,2855428170.3085,1395721600.437,2667640063.014,21932872057.265,813060992104.72,29071077039961,5878865954649.7,570057620077.97
1,3,75.361204013378,75.361204013378,1190392882.1174,4183427902.239,2041768377.7889,3878587637.1909,24413240630.621,865841916530.31,30944285150004,6257601760162.5,606780667527.46
1,3,78.94983277592,78.94983277592,1798744223.1005,6264643197.4974,3051956374.5754,5762619234.061,27632150624.98,921163659186.36,32899502717351,6652876688308.7,645106252850.49
