x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12
1,3,0,0,80475.705020608,92391.040721602,50166.656317442,77323.595724755,85271.184219487,92888.086960462,6289055.5113508,646754387.77115,42811875173.047,164775950365.4,140186813026.07,20019363274.915
1,3,3.5886287625418,3.5886287625418,197657.77730386,313350.79654401,174798.83287936,270709.66370019,298872.64620164,324425.48883478,20427873.290627,2105623861.4254,140828402064.14,551285060798.16,492114407118.73,69758459933.677
1,3,7.1772575250836,7.1772575250836,348743.54581648,587361.64785963,329783.63443802,511919.27288029,565622.52329175,610966.78702487,34734507.916095,3576100537.4453,239681080439.92,940466000004.9,844524715261.88,119658219411.55
1,3,10.765886287625,10.765886287625,535683.34502811,917967.60493603,517094.66181572,804003.2869783,888890.45397611,955989.19966,49215720.920931,5058364728.6606,339375083090.86,1332361835895.7,1197543276193.7,169731079583.32
1,3,14.354515050167,14.354515050167,855372.30673665,1473604.170187,831253.11167902,1293882.1350788,1431240.7578856,1527388.6838568,64252300.767611,6568935520.7485,440833323332.3,1730828428230.8,1555890330606.8,220545397087.09
1,3,17.943143812709,17.943143812709,1315650.5709578,2271115.7986634,1281843.8742839,1996193.1689995,2208631.4962795,2341427.1003522,79791815.076568,8099998802.1431,543609484016.55,2134426978586.2,1918793742544,271999820432.64
1,3,21.531772575251,21.531772575251,1921676.8013846,3319514.2832905,1873963.1730591,2918869.0280856,3229826.2659716,3407127.3115604,95841127.10199,9651116653.0793,647676993075.02,2543058674618.2,2286172302481.7,324083531070
1,3,25.120401337793,25.120401337793,2983762.8036169,5154869.2839462,2910196.4905306,4533011.6767108,5015850.8084229,5261972.2285374,113323892.21013,11248382620.408,754739587719.37,2963432771225.8,2664087625032.6,377657597010.28
1,3,28.709030100334,28.709030100334,4553382.1791449,7866342.3024816,4440893.9254736,6916933.8805324,7653133.6167633,7994768.0195237,132242496.88741,12880580550.637,864050183382.62,3392628409038.8,3049930346397.4,432354841334.51
1,3,32.297658862876,32.297658862876,6643636.2098884,11476486.151661,6478768.7706139,10090375.241184,11163429.991815,11627844.555601,152603614.8854,14545486473.954,975457745874.17,3830052855978.9,3443168062068.7,488099897597.56
1,3,35.886287625418,35.886287625418,10241766.677019,17688871.319991,9985131.7173934,15549373.09207,17200387.161204,17865619.826726,176894594.77952,16279616700.671,1091232655178.7,4284614989109.6,3851809156965.4,546028084990.99
1,3,39.47491638796,39.47491638796,15648090.618172,27020135.644192,15251173.17985,23746088.291687,26262506.937967,27220297.164986,205619648.00091,18068585619.567,1210355681103.3,4752311431980.5,4272254790800.1,605629367304.57
1,3,43.063545150502,43.063545150502,22893589.132508,39522942.470703,22306438.243507,34726004.069965,38399431.012547,39742308.86144,238789806.19842,19907003587.753,1332459809228.5,5231700959601.3,4703209301047.7,666720077469.48
1,3,46.652173913043,46.652173913043,35104275.843939,60583769.715396,34188808.755681,53212070.854316,58825648.424438,60799241.990214,283613396.55632,21845104680.582,1460344737550.6,5733756169428,5154531889012.6,730697389462.35
1,3,50.240802675585,50.240802675585,53737198.711305,92703340.456167,52306498.272839,81387436.296065,89943647.831335,92855368.607718,343042566.77607,23869826499.934,1592872996631,6254001654934,5622196945217.6,796990434689.02
1,3,53.829431438127,53.829431438127,78852557.696061,135979617.49143,76713507.079566,119332468.271,131837605.17254,135992358.92497,417075572.67357,25971066385.177,1729359137373.5,6789745798337.8,6103784683737,865256182872.61
1,3,57.418060200669,57.418060200669,120297170.51662,207338465.50838,116946787.06698,181848443.36706,200816592.1502,206962424.10981,527380582.1384,28224510634.211,1873107253938.8,7353899085554.6,6610885801816.1,937136276632.2
1,3,61.006688963211,61.006688963211,184505342.32048,317780551.47614,179191825.71533,278498214.47767,307370685.40771,316489987.83419,687289878.46546,30630755863.679,2023035873517.6,7942175689256.7,7139637609681.9,1012082252050.2
1,3,64.595317725753,64.595317725753,271529171.74204,467355512.71286,263467928.57956,409286927.2457,451474159.25717,464514990.98562,896510670.65023,33172793301.901,2178020275204.8,8550160191214.3,7686070927491.5,1089531468268.9
1,3,68.183946488294,68.183946488294,412199245.10549,708836671.71838,399462293.50956,620150874.7894,683568082.25583,702661683.06008,1220589489.1961,35987652521.335,2341843774500.8,9192516715582.6,8263321278414.4,1171341672089.5
1,3,71.772575250836,71.772575250836,633408923.49226,1087903914.3232,612794623.11669,950511827.20872,1046661652.8203,1074651554.8427,1713962546.9182,39129942352.163,2513680207047.8,9865844235404.3,8868292595240.2,1257070481839
1,3,75.361204013378,75.361204013378,934818480.54318,1603706545.111,902927722.95962,1399371361.3037,1539448933.9661,1578926813.192,2374053210.5232,42570720836.208,2691819300000.7,10563436502512,9494958570467.8,1345863876055.1
1,3,78.94983277592,78.94983277592,1412277201.5088,2419128078.8679,1361232504.1971,2107375893.38,2315445291.2358,2371627253.0687,3396438159.7296,46612376206.484,2880487875302.4,11301327233493,10157595008492,1439733060989.8
1,3,82.538461538462,82.538461538462,2174220938.6387,3716332272.2027,2089432699.567,3229793313.9046,3542486898.5764,3621742357.5748,4989241744.4181,51501103237.302,3079340477533.6,12077575678851,10854315673124,1538398057861.7
1,3,86.127090301003,86.127090301003,3217743363.2751,5488598946.4041,3083368106.2323,4759118382.049,5211025588.7939,5318160953.7638,7135963016.6638,57176831985.095,3285899655191.5,12882513535982,11576445031117,1640630653903.7
1,3,89.715719063545,89.715719063545,4838321551.9932,8231792620.8544,4619825615.4508,7117528446.5845,7777079619.2629,7919740422.3904,10402152112.849,64389740014.182,3504759402560.5,13732594080939,12338390522517,1748439075090.1
1,3,93.304347826087,93.304347826087,7462233145.5316,12648731776.962,7088328939.6248,10891368260.916,11864515248.977,12044575947.445,15533471051.426,74022869184.204,3736260576671,14627146120752,13139072104831,1861628793441.4
1,3,96.892976588629,96.892976588629,11073662779.493,18701258912.708,10465008218.667,16037142247.396,17417914777.245,17628520736.851,22437600762.805,85895907602.492,3976922466700,15552826094666,13966580078237,1978519884845.7
1,3,100.48160535117,100.48160535117,16574187897.224,27869602164.975,15568854888.783,23783964713.791,25740902916.229,25959321854.325,32663496557.223,101896635698.25,4231480089635.5,16524073410886,14832912187502,2100727816477.7
1,3,104.07023411371,104.07023411371,25608303292.374,42779077326.815,23835599210.23,36240970526.429,39017403461.505,39142698431.025,48666673474.285,124819804362.67,4500869093787.8,17538347186013,15734355384435,2227606129457.9
1,3,107.65886287625,107.65886287625,38102130885.834,63233506465.873,35139905330.284,53175918176.47,56951670038.751,56840349202.225,69974823720.445,153958806075.13,4780274489361.1,18578300474149,16655715799644,2357038508688.7
1,3,111.2474916388,111.2474916388,56771872837.083,93522869182.672,51817300534.669,77993157254.583,83040642001.003,82399408120.84,100460474435.57,193726312503.54,5073813098047,19650413873645,17600603277188,2489351091473.8
1,3,114.83612040134,114.83612040134,87870036040.982,143078964666.62,78900293719.193,117769223282.12,124273981143.87,122257920744.55,147233277485.53,251705290541.97,5381391320486.3,20737974638895,18550404503680,2621617315093.1
1,3,118.42474916388,118.42474916388,131077309964.73,210919281579.13,115745190071.03,171305986728.48,179159231261.1,174765859341.81,208107588559.62,325033966213.76,5696436433005.7,21821713189717,19489396508698,2751750109016.7
1,3,122.01337792642,122.01337792642,194445671544.37,308898182064.29,168608680823.16,247246569024.57,256086752172.28,247535271137.94,291359098818.01,422427528028.86,6020042868343.9,22887328408714,20400673404629,2877029655311.1
1,3,125.60200668896,125.60200668896,301474048082.24,468980759080.52,253738213412.41,366652193853.99,374191022343.33,356866901801.09,413458377487.6,559729787228.22,6343650947560.9,23868732834049,21218171676147,2987585783099.2
1,3,129.19063545151,129.19063545151,450845954787.37,686198984726.54,367820827447.9,523579559474.65,526550433900.83,495636722650.04,565744883383.97,726814105858.03,6659289203369.5,24757051635775,21939006927059,3083421376018.8
1,3,132.77926421405,132.77926421405,665929230162.65,990653282588.25,525753141511.34,736594388759.78,729443948214.66,677307532415.32,761416485219.5,935991937663.4,6958875139777.8,25495638915181,22507194354160,3156208855846.4
1,3,136.36789297659,136.36789297659,1034211284911.9,1479455812333,771853205377.35,1054492811319.8,1020684898823.7,929632076529.7,1023895806105.5,1205053595606.4,7202450313675.6,25894481281228,22745458332021,3180232375437.1
1,3,139.95652173913,139.95652173913,1550433952455.9,2126761733850,1089240004168.8,1450696563623.1,1373440319186.7,1228113743754.6,1326727740019.2,1507053497252.1,7388196236618.2,26000865000730,22706341541227,3163550840089
1,3,143.54515050167,143.54515050167,2280464115679.2,2996563914063,1504983505675,1952326114687.9,1807077886089.7,1585865376447.1,1679736379351.6,1848269315901.1,7489105293227,25696584812912,22280236617983,3090192958470.5
1,3,147.13377926421,147.13377926421,3547479326506.7,4310773493747,2092173429302.1,2610832494202.4,2344502642604,2007041212875,2071272862190.7,2207803730944,7399589042902.6,24582884938819,21093288156747,2904444756667.5
1,3,150.72240802676,150.72240802676,5330951773580.7,5930065537872.8,2773643540600.6,3339598065570.5,2916557762995.1,2436187465447.3,2449399593070.7,2550790009827.6,7181445659728.6,22880267984387,19323544728905,2630362729371.5
1,3,154.3110367893,154.3110367893,7808801519582.1,7930307086505.6,3564999546461.5,4143561617425.7,3519595425013.8,2863377769812.7,2797437535196,2863362680684.1,6803391058100.8,20431149842154,16805829980503,2242237761088.6
1,3,157.89966555184,157.89966555184,12166978811851,10275212691826,4354690917974.3,4913157699877.7,4021995833677.7,3132947236845.7,2942372437278.5,3110581940113.7,6633482551831.1,16390827654155,12680684248796,1597118884886.3
1,3,161.48829431438,161.48829431438,15841438694023,12284630261649,5023284033126.1,5568184426509.8,4438925173075.7,3338887561554.5,3032916467527.6,3302607781869.3,6466980171777.3,12828165542724,9152419218212.8,1058878323234.5
1,3,165.07692307692,165.07692307692,18259117541504,13767090799274,5521237345909.4,6066861825796.9,4750857186547.2,3479500574046,3078231038214.2,3426887887359.9,6272972881602.8,10186606585374,6716024777813,711362976631.91
1,3,168.66555183946,168.66555183946,20264021114884,15102408985124,5985125239156.1,6538416682175.6,5054569251577.2,3627211099598.4,3139463614699.7,3544964177963.4,6058830114025.8,7913959629045.5,4647143744887.4,422046610443.01
1,3,172.25418060201,172.25418060201,20667841602381,15866987726477,6316879328719.4,6904767938869.1,5326397574430.4,3802451636822.5,3262439351313.1,3638976955786.4,5766585351687.9,7072257794848.4,4003782934369.3,358473909154.53
1,3,175.84280936455,175.84280936455,21071662089877,16631566467831,6648633418282.7,7271119195562.6,5598225897283.5,3977692174046.6,3385415087926.5,3732989733609.3,5474340589349.9,6230555960651.2,3360422123851.2,294901207866.05
1,3,179.43143812709,179.43143812709,21085693727436,16943849452134,6816410646540.6,7489107624162.9,5778818263446.9,4108436312053.7,3493201074868.5,3824956493228,5398469577644.9,5971365384452.6,3173453531199,276840072039.13
1,3,183.02006688963,183.02006688963,21097849168968,17253955371848,6983398594305.7,7706381928312,5958971477645.3,4238966272648.1,3600913948000.4,3916913404614.2,5323640051788.3,5714978647583.1,2988681720896.5,258997999990.67
1,3,186.60869565217,186.60869565217,21102012289155,17423158175455,7080375827227.3,7843402437151.7,6079763085273.6,4331103303422.7,3681620875628.3,3994043252512,5321631900063.6,5622364616203.4,2915658346245.4,251826584016.39
1,3,190.19732441472,190.19732441472,21103992288639,17553872973320,7158229474600.8,7958501439782.1,6184339935431.6,4412753218339.4,3754951067990.6,4067123054389.2,5339515071846.3,5574485470774.8,2873159310245,247569881950.48
