x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15
1,3,0,0,833.27953234033,54829.398248184,26202.195712052,82245.676342482,30807.820152429,26146.264201522,67579.223505033,38638.831569464,30007.420374535,6254905.5749513,645440074.62481,42726574752.714,164447700694.61,139907560542.13,19979485843.345
1,3,3.5886287625418,3.5886287625418,1483.5399106662,139019.77456967,86891.809726812,287705.67418788,108308.91902566,92036.316109766,238023.74065269,136142.86036087,105165.29088346,20312828.077982,2101340058.5889,140547810598.44,550186864865.17,491134132022.47,69619507825.641
1,3,7.1772575250836,7.1772575250836,2432.8143022988,248782.26212913,162761.66139754,546740.3606482,206132.30442511,175262.09463625,453447.79987008,259388.76242532,199007.0606521,34528284.804095,3568812468.8006,239203535245.23,938592573902.95,842842496864.7,119419878931.64
1,3,10.765886287625,10.765886287625,3697.473643515,385642.63994575,254888.59597492,862869.71174666,325601.44805365,276947.16859237,716752.09471591,410034.49974337,312733.97481617,48907459.662905,5048036601.9063,338698911358.14,1329707812138,1195157946084.4,169393012625.53
1,3,14.354515050167,14.354515050167,6103.7236686148,624554.64286829,413613.41517383,1404175.260006,530072.68964564,450952.33528943,1167188.0255119,667701.79848034,504064.00236711,63802228.53472,6555465788.4988,439955022533.42,1727380868260.3,1552791434449.3,220106151534.38
1,3,17.943143812709,17.943143812709,9771.7742772948,973456.35240984,644963.30743378,2190800.0104716,827067.93483199,703621.53715825,1820896.6757968,1041561.9760023,779591.78114402,79160680.887293,8083302159.6295,542526441292.81,2130175810507.1,1914972364089.1,271458146011.52
1,3,21.531772575251,21.531772575251,14763.064821449,1436758.1386719,951867.44285675,3232608.6693499,1220302.2699977,1038108.7697757,2685993.431723,1536244.5577765,1142663.5265649,94988913.312379,9631107836.6991,646386648909.64,2537994026839.6,2281619690795.9,323438199595.98
1,3,25.120401337793,25.120401337793,24106.183899296,2263255.2934374,1498877.0013941,5084958.6928102,1919145.1229336,1632346.6074562,4221708.3869365,2414100.5645409,1783251.7666243,112134779.57998,11224839087.492,753236015465.73,2957531707256.3,2658783270232.6,376905713842.7
1,3,28.709030100334,28.709030100334,38626.249496142,3501177.3930011,2317767.8353756,7853549.3756034,2963316.739657,2520005.1832562,6514323.6467998,3724252.7525699,2736793.3910336,130600932.9803,12853303252.527,862328947852.6,3385873819983.2,3043858943589.9,431494244122.06
1,3,32.297658862876,32.297658862876,58555.23541494,5163088.9195196,3416791.6567057,11565619.143786,4363037.8141278,3709739.477488,9585966.2902302,5479285.498179,4012362.80889,150394600.91982,14514281670,973514713461.79,3822428814241.3,3436315366806.3,487128574041.15
1,3,35.886287625418,35.886287625418,94952.118717575,8068834.1394161,5337209.3922303,18039488.159427,6803172.027309,5783172.4491462,14934973.42166,8534423.4644824,6228724.8542304,173813925.65128,16244008514.189,1089059249135.5,4276088607876.5,3844145791069.1,544941886906.78
1,3,39.47491638796,39.47491638796,152503.21922311,12491650.153792,8258680.2908039,27870392.544146,10507249.491217,8929709.491502,23046360.288361,13165717.836269,9585142.1619992,201347622.37858,18028113539.382,1207945373805.5,4742857899601.8,4263758640280.6,604425176333.57
1,3,43.063545150502,43.063545150502,232086.54724095,18466090.236971,12203713.498104,41130389.414001,15502124.763369,13171971.979634,33977132.443056,19405362.499496,14104718.8114,233015908.07107,19861229356.402,1329806804419.8,5221298309058.8,4693860802413.9,665395136172.41
1,3,46.652173913043,46.652173913043,373904.25642394,28675155.746909,18940661.892256,63725520.377223,24009517.55083,20394971.562711,52571042.8018,30014762.017296,21783533.063775,275577667.50592,21793006184.668,1457437891986.1,5722362565210.3,5144293877181.8,729246467266.29
1,3,50.240802675585,50.240802675585,601968.57744182,44448533.733124,29342906.002918,98535510.899459,37109689.501031,31513278.922439,81164443.493301,46322116.563409,33579726.615006,331906548.51538,23810338196.251,1589703517649.3,6241584652001.9,5611040729761.5,795409504722.28
1,3,53.829431438127,53.829431438127,919601.00628288,65872880.589893,43466070.069205,145726787.25257,54863663.085785,46577630.274143,119880380.0009,68395565.561516,49541533.203933,402048427.28109,25903200393.526,1725919591417.8,6776278154204.9,6091686218644,863541873722.88
1,3,57.418060200669,57.418060200669,1472190.7017425,101660166.8776,67041230.423049,224299415.24622,84407318.960593,71634898.554635,184203871.04585,105048516.64054,76032322.449449,506676280.50549,28146104082.936,1869384270724.3,7339332632126.2,6597802766861.8,935282670771.25
1,3,61.006688963211,61.006688963211,2375719.0416184,157759476.44876,103969599.0308,347015159.20599,130519318.83204,110725026.18006,284412657.92719,162111832.87938,117252610.88778,658869446.9506,30539444615.538,2019018571987.1,7926472501596,7125536982677.2,1010084755921.9
1,3,64.595317725753,64.595317725753,3642740.5429982,234347461.05749,154360272.91295,514130099.05064,193286986.11987,163916126.17104,420638379.2388,239648543.31433,173241966.69325,858526714.95881,33066472371.42,2173699970524.8,8533290446793.9,7670926845605,1087386492279.5
