x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,0,0,835.18969603606,54937.359942206,26253.764508584,53584.400524292,18571.548893457,28984.044382099,24615.592712864,27849.222607927,31512.748480266,35842.535942913,26020.507084489,233096.69061501,7060056.1882845,251219124.85125,4588144005.202,36530655670.585,164653900572.61,72940229149.427,67241607646.514,14927582228.676,5102319715.056
1,3,3.5886287625418,3.5886287625418,1486.9484557185,139293.46992514,87062.680892689,186997.07280462,65197.172179497,101964.46532688,86672.6666428,98073.450242639,111034.40383838,126316.84111607,91684.843674038,779189.57339125,22957241.272109,818144275.20024,15008855941.983,120256455230.58,550707656797.15,253117245848.59,239241620364.41,51568337833.313,18271359003.526
1,3,7.1772575250836,7.1772575250836,2438.400061633,249271.59839962,163081.28463782,355005.48087359,123992.38022931,194126.89339843,165090.65600952,186851.51569647,211584.34511144,240729.0809371,174699.74218271,1383327.9921124,39001763.750406,1389552065.2983,25517326729.998,204689949609.27,939412257487.71,433761139104.82,411306738659.15,88373395525.376,31446891427.025
1,3,10.765886287625,10.765886287625,3705.9534706044,386400.49622546,255388.52243164,559903.38613991,195755.92446876,306718.75330723,260929.45720531,295382.12910169,334519.39378537,380622.09454304,276182.67604295,2049162.985221,55198210.786057,1965517903.3193,36114400447.265,289835944771.94,1330813413278.9,614927447489.11,583504395651.89,125349814187.08,44633782140.803
1,3,14.354515050167,14.354515050167,6117.7193018655,625779.97804578,414423.27941037,910937.88099329,318639.89406045,499480.4052077,425004.36993188,481180.57758363,544965.42418789,620074.22614735,449799.41112736,2953244.0008127,71834800.288416,2552618603.9091,46907232435.113,376490187724.33,1728838555947.3,798930475132.45,758196781646.01,162885405755.3,58004060750.837
1,3,17.943143812709,17.943143812709,9794.2153338437,975364.24473432,646224.89245377,1421423.0340485,497266.39385541,779561.09590153,663342.89945716,751016.09642757,850535.21983009,967692.57467488,701761.45185238,4113653.0541228,88836687.296976,3147757784.7273,57842414599.722,464276047379.17,2132021081793.8,985292816042.1,935103565728.87,200895725583.94,71541974289.617
1,3,21.531772575251,21.531772575251,14797.016845593,1439572.1610819,953728.13164272,2097796.9475977,733885.27150503,1150479.7095711,978933.48820954,1108264.9563595,1255044.0121504,1427807.9684434,1035202.0244496,5540303.7936759,106204401.61053,3750765110.0423,68916946446.337,553170660581.71,2540260988052.7,1173971417454.1,1114187112290.8,239372751327.6,85244859668.719
1,3,25.120401337793,25.120401337793,24161.636031326,2267683.4397872,1501803.5172291,3301449.8214962,1154821.5613485,1810033.2707385,1539930.2583106,1743123.2757343,1973675.9064799,2244987.6727112,1627204.2452137,7807142.5999146,124537165.18429,4371899394.7609,80312753079.17,644636159190.35,2960289496037.5,1368088910052.4,1298422849407.8,278955103809.79,99340955371.751
1,3,28.709030100334,28.709030100334,38715.09880657,3508019.9122473,2322287.659586,5101686.3876124,1784261.3892209,2795990.8947145,2378372.6738604,2691743.7283657,3047227.7889415,3465471.7991606,2511186.4810231,11018006.401235,143771005.04614,5006811122.621,91949506632.643,738030867102.39,3389172591239.8,1566296994695.6,1486539393749.7,319370850468.17,113733793619.44
1,3,32.297658862876,32.297658862876,58689.922096371,5173170.2686807,3423448.1255617,7516417.0219127,2628448.8623194,4118091.6783166,3502515.9496583,3963434.4889199,4486195.7968433,5101147.3712808,3695734.98547,15199694.705986,163896919.73164,5654638965.1033,103811058507.37,833225161231.17,3826315367450.3,1768320974172,1678276303905.6,360564102439.06,128403480818.72
1,3,35.886287625418,35.886287625418,95170.598273354,8084571.1073898,5347594.3991594,11731346.904158,4101627.2236656,6424456.9974331,5463035.4820507,6180674.3987031,6994380.3862129,7951358.1415306,5759353.1215795,22212946.826004,186343233.64358,6329944361.5401,116141153088.98,932167383497.06,4280660540294.7,1978293503017.4,1877555982212.4,403377591750.92,143650149544.59
1,3,39.47491638796,39.47491638796,152854.191427,12515984.305212,8274729.0492541,18137171.807037,6340065.0034578,9927772.3886246,8440307.4942991,9546965.441826,10801400.310401,12276328.831832,8890097.1671463,32653628.855782,211287217.4152,7027235809.9638,128831149945.29,1033982976810.8,4748190881891.7,2194358167409.5,2082616837671.2,447432957311.26,159339069468.79
1,3,43.063545150502,43.063545150502,232620.72816376,18502027.76666,12227403.077551,26781993.357333,9360471.5075637,14653960.857924,12456216.137721,14086876.911255,15934833.177638,18107135.937278,13110338.579223,46590825.905293,238709385.99077,7744429790.1504,141841850798.65,1138357001022,5227459956431.8,2415846492325.3,2292824441562.2,492593901803.74,175421703048.6
