x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9
1,3,0,0,78830.814821996,194454.83223139,93824.529998429,182570.46904608,9168428.6381738,673364651.1837,205893832263.9,137693862686.35,19657546916.521
1,3,3.5886287625418,3.5886287625418,193617.74263002,667825.85132357,327879.88545973,638591.93338449,29793690.923723,2195878606.8589,686411315232.23,483228819530.73,68488527297.739
1,3,7.1772575250836,7.1772575250836,341615.36147306,1256352.9073287,619197.66954564,1205089.8429224,50682005.781019,3731366482.8965,1170421751750.4,829200692947.94,117472916361.88
1,3,10.765886287625,10.765886287625,524734.13849625,1967482.7127092,971428.10515936,1889020.9954229,71844187.678014,5279954178.3924,1657970980017.8,1175734586127.6,166623080013.12
1,3,14.354515050167,14.354515050167,837888.5718189,3158421.7415901,1560393.9436526,3026676.2114443,93884494.595623,6857521175.8996,2153742273593.2,1527494988853.6,216498442297.5
1,3,17.943143812709,17.943143812709,1288758.7656633,4862836.4895981,2402582.5972134,4648582.9811437,116729604.9055,8456269598.6829,2655882245929.9,1883716979188,267000328771.38
1,3,21.531772575251,21.531772575251,1882397.9460724,7099481.7690688,3507218.2932665,6772234.4506905,140391727.52156,10075768376.662,3164267513340.4,2244320523280.1,318118107968.61
1,3,25.120401337793,25.120401337793,2922775.3998967,11000325.603838,5432137.3094221,10462049.032649,166368632.85237,11743335265.611,3687211944995.8,2615232898874.5,370693894937.33
1,3,28.709030100334,28.709030100334,4460312.115487,16745424.012498,8265323.0528654,15882899.804233,194676189.84025,13447412672.13,4221092649123.3,2993899190541.6,424368191975.93
1,3,32.297658862876,32.297658862876,6507841.6033027,24379588.734217,12028583.133881,23075372.319436,225325983.76003,15185692502.639,4765174667388.8,3379798478320.8,479067260260.14
1,3,35.886287625418,35.886287625418,10032426.392904,37462110.855437,18472183.678531,35365418.664855,262363040.22514,16996505898.921,5330501192919.6,3780762217109.3,535901205977.61
1,3,39.47491638796,39.47491638796,15328245.514157,57034406.718237,28104367.654021,53704672.280402,306588628.35559,18864939862.118,5912108192151,4193269460969.2,594371066614.39
1,3,43.063545150502,43.063545150502,22425646.77823,83190518.413751,40969727.388377,78171862.363171,358006443.79298,20785374640.672,6508208876288.6,4616052867181.8,654297207795.2
1,3,46.652173913043,46.652173913043,34386748.383126,127029211.89336,62509998.304203,119049423.83944,428202725.92753,22810897516.622,7132401829386.7,5058751288169.5,717045411369.07
1,3,50.240802675585,50.240802675585,52638816.34225,193535647.88924,95151539.270143,180857200.71021,521721689.69439,24928063784.05,7779137580845.3,5517425968730.4,782057183068.22
1,3,53.829431438127,53.829431438127,77240820.138344,282827445.43677,138942883.91883,263653820.58555,638453248.62331,27126261814.053,8445079728731.6,5989710496197,848997098679.87
1,3,57.418060200669,57.418060200669,117838309.62696,429163177.9948,210614316.14667,398810311.5902,812436279.02812,29485968647.67,9146224070290.7,6486931388605.9,919469186376.5
1,3,61.006688963211,61.006688963211,180734073.39299,654079964.95925,320601237.56147,605595870.0247,1063646864.9333,32007979811.879,9877255717047.3,7005307738486.3,992936675201.89
1,3,64.595317725753,64.595317725753,265979145.19659,957255072.63,468697165.21514,883446817.56988,1391081526.1005,34674082879.982,10632703098814,7540959279150,1068849607670.4
1,3,68.183946488294,68.183946488294,403773937.54728,1443092934.7249,705610997.87539,1326445476.2203,1894581909.5056,37629242561.805,11430729576938,8106713515083.6,1149022012449.8
1,3,71.772575250836,71.772575250836,620462114.58455,2198837416.4045,1073335511.3182,2011125628.2693,2653207812.5302,40928845868.524,12267119033351,8699536914148.5,1233020667789.7
