lbp,temp,groups,keff,memory,time
no,600,3,1.4382121785067,10156,100.339
no,600,6,1.4381509141918,12466,411.248
no,600,9,1.4381156916762,16139,1842.982
no,600,12,1.4381248107327,21197,3843.225
no,600,15,1.4381092892205,27249,4134.202
no,600,18,1.4381174974282,33016,6437.740
no,600,21,1.438128846636,40153,7301.351
no,600,26,1.4382421264179,55122,11726.183
no,1200,3,1.3781377757977,9900,141.923
no,1200,6,1.3779884857948,12465,516.714
no,1200,9,1.377777872722,16126,1831.503
no,1200,12,1.3777677676146,21146,3672.893
no,1200,15,1.3777438675911,27243,4276.420
no,1200,18,1.3777432802591,32941,6173.613
no,1200,21,1.3777381856266,40256,11500.535
no,1200,26,1.3779202137889,55143,11631.104
yes,600,3,1.1291752315588,10205,175.466
yes,600,6,1.1288775287335,12484,536.190
yes,600,9,1.1289192510241,16175,1884.950
yes,600,12,1.1289298797747,21194,4069.334
yes,600,15,1.1289279723847,27276,4048.150
yes,600,18,1.1289173911495,33060,6509.701
yes,600,21,1.1288540837719,40094,9385.081
yes,600,26,1.1287205557295,55193,17154.792
yes,1200,3,1.0659538460893,10208,193.570
yes,1200,6,1.0659903853671,12522,883.757
yes,1200,9,1.0658654864839,16172,2238.673
yes,1200,12,1.0659071678793,21266,3392.397
yes,1200,15,1.0660446036627,27233,4055.503
yes,1200,18,1.0660274628876,32968,6669.601
yes,1200,21,1.0658289090008,40184,10510.959
yes,1200,26,1.0658217918002,55128,17660.646
