x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,0,0,12.670724447283,1239.8329461701,15712.837522156,18640.615697241,19568.221489806,26141.656357518,12967.760383911,14863.635103417,23842.668501689,20647.980531038,23780.07137565,27411.951083073,31776.237313972,23268.880716775,26119.549460872,206153.58236649,12321095.950009,435746176.9932,7814349108.1313,61822853978.645,144069080876.7,135618776143.13,124299051596.62,114564549827.28,25443784101.573,8680676807.7832
1,3,3.5886287625418,3.5886287625418,21.614103681152,2225.3193994363,35045.92206478,55292.626138545,66678.429205151,92251.4586356,46054.333208979,52908.694204253,84973.081063025,73615.892194228,84800.632438117,97782.301753482,113351.41938176,83010.271527931,93115.202690225,683279.57773732,40046089.313401,1418837707.036,25552597023.462,203325666155.3,478087891903.67,457436574714.55,431570674231.93,407713237281.72,87900435818.53,31089456402.156
1,3,7.1772575250836,7.1772575250836,35.774186508559,3672.4955237456,61632.503956744,103234.57606985,127684.54514834,178108.27195712,89069.475169597,102419.40513252,164589.08038802,142624.72730805,164315.14450597,189484.24356815,219657.39497568,160862.04077859,180254.82204429,1198920.5280519,68005450.723612,2409530628.1198,43436124667.273,345994261090.14,814659539682.68,781195605957.66,739680835881.91,701001065399.77,150641911338.41,53510303820.903
1,3,10.765886287625,10.765886287625,55.457827073157,5607.0694996075,95912.904432526,163255.29013617,203573.88659621,285080.51637229,142696.32371179,164180.13522462,263949.60965265,228764.60438008,263578.60043549,303964.16853391,352369.89758827,258050.89447655,288901.67962813,1755572.7809695,96206057.418394,3407962935.5763,61466661574.349,489839484063.87,1153814150255.1,1106945044628.8,1048721576609.7,994541698783.1,213680100000.97,75951486548.502
1,3,14.354515050167,14.354515050167,95.805076178274,9319.4559037947,159405.14813428,272382.69419756,340482.10257065,477546.98544336,239136.76493972,275223.31316124,442567.12508398,383597.91352482,441975.94389974,509679.10900325,590815.61051958,432652.96270657,483612.90684811,2472902.9461881,125092040.41713,4425633073.6553,79832948451.739,636272226147.86,1498859192282,1438097441619.1,1362586068141.8,1292343057482.1,277675414843.68,98706261563.989
1,3,17.943143812709,17.943143812709,160.35726626067,15013.302618869,255466.00171739,436903.79163136,546471.33373404,766730.46202044,383980.97395361,441942.63836671,710636.49003459,615912.09286912,709578.46112273,818177.16242253,948300.94239203,694379.11836943,775168.15131577,3368451.1989957,154533244.5038,5457222800.3215,98443224400.942,784631030765.23,1848409412321.3,1773540070777.2,1680481201366.4,1593927555609.9,342482346917.93,121747190626.41
1,3,21.531772575251,21.531772575251,250.61178395618,22788.366204262,385667.06209457,659502.89795373,824894.34982214,1157318.1342545,579572.63228281,667030.59959233,1072474.4761651,929440.14940212,1070676.8462458,1234393.5551189,1430530.720513,1047399.1508329,1168195.4422472,4450356.9750965,184528425.63126,6502430005.8533,117292255888.82,934876287366.74,2202375534147.2,2113191440845.8,2002334227662.4,1899231347744.2,408087223295.49,145069736254.21
1,3,25.120401337793,25.120401337793,429.79334746434,37453.257825113,627951.04928061,1072929.062836,1341384.7396476,1881095.2301922,941878.95431535,1083824.4461592,1742160.3847334,1509514.4085324,1738532.0782053,2003912.1606916,2321754.7019152,1699664.1750798,1893733.859207,6137722.8560001,215955388.68824,7578904001.7995,136690405344.98,1089485408560.2,2566606666060.6,2462678299721.8,2333492745769.3,2213345013114.9,475582542104.51,169063638792
1,3,28.709030100334,28.709030100334,721.81539616513,60380.283936722,1002879.111376,1711954.5921472,2139150.1533221,2998247.8583658,1500960.1072205,1726821.4095276,2774915.8784069,2403830.3534124,2767890.556626,3189612.8283876,3694546.792117,2704162.4660704,3010504.8704968,8532093.1075764,248694208.79034,8679041542.613,156499993434.39,1247367203266.3,2938543790594.8,2819556593800,2671652670963.6,2534096997203.2,544503627696.77,193564315877.59
1,3,32.297658862876,32.297658862876,1133.910224628,91958.323878284,1516152.9616697,2586180.471793,3230088.6546705,4525310.5426,2265067.7695434,2605483.9044553,4185871.7814309,3625446.3008997,4173728.2013255,4808679.2113302,5568717.808093,4075348.5147401,4534518.4007057,11661350.617838,282728846.78588,9801343028.7689,176693422857.19,1408301745204.8,3317669161815.9,3183329918010.2,3016344035059.4,2861042009688.3,614754910316.81,218537808455.61
