x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,0,0,8.5238989349638,732.13145358578,8766.1537639373,10327.117771566,10825.293949735,14444.440976089,7171.5136654109,8215.3721150282,13166.514788887,11389.527520785,13121.862617157,15117.751879397,17507.70083017,12830.855281463,14393.325985012,115555.47171737,6997112.7297762,249813936.45942,4564773077.0735,36375919139.697,84813982801.385,79776457532.531,73126871919.711,67399747571.649,14957407789.218,5112066829.1619
1,3,3.5886287625418,3.5886287625418,14.44433948917,1311.4459730332,19550.077166942,30624.53235434,36873.459066655,50950.373992998,25457.76355217,29230.46678953,46900.915539958,40596.288829133,46771.601831811,53910.027097047,62442.265079115,45759.163463739,51291.449573514,382818.86791896,22745736.064468,813448672.56483,14925919521.343,119631617172.01,281442086593.18,269088646739.04,253890203648.46,239849778103.48,51675178745.217,18306729984.147
1,3,7.1772575250836,7.1772575250836,23.777700263142,2160.5896876244,34363.295030286,57148.819184394,70576.843755028,98325.270137862,49214.210359779,56559.709726433,90806.879858935,78621.429512811,90591.07807188,104427.16466165,120957.75814776,88639.283390449,99247.833395377,671253.95589103,38626450.571186,1381437197.0488,25372013390.499,203573174564.18,479573060220.98,459541150665.59,435146864183.53,412382017461.55,88560054727.952,31508609310.91
1,3,10.765886287625,10.765886287625,36.721910535812,3294.5155358103,53450.169474582,90334.890371579,112479.0411876,157321.70092821,78816.902391063,90634.671984984,145576.52373369,126063.84522198,145269.86575535,167463.58670584,193973.57558045,142144.5185423,159010.2560495,982233.11939804,54643134.192222,1953858628.4512,35904058088.179,288206962965.22,679224605095.57,651162952877.22,616950970809.39,585063290037.01,125619035917.25,44722565906.785
1,3,14.354515050167,14.354515050167,63.085553584558,5464.9343279702,88755.867495848,150599.80680192,187985.21701239,263353.20404045,131996.36670701,151836.13918626,243935.36081129,211256.2894719,243445.006825,280626.59443961,325023.49802487,238161.48408098,265997.41353287,1381541.945913,71046166.349318,2537301574.5491,46632144012.749,374362740933.85,882342686713.96,845961975904.81,801591869886.99,760250249351.53,163240429768.08,58121135949.742
1,3,17.943143812709,17.943143812709,105.05682166747,8787.6308901325,142126.92369595,241385.66306545,301507.03851753,422556.88400024,211812.76550868,243662.91065247,391458.92940666,339001.99210041,390625.04438135,450238.08038822,521399.84234122,382020.2333072,426115.06639665,1878648.9859123,87761104.296942,3128716118.5815,57502686129.245,461651374199.42,1088112011316,1043283921719.6,988603177134.23,937662006187.75,201338800380.16,71688146542.292
1,3,21.531772575251,21.531772575251,163.57779847099,13320.009440133,214431.32495636,364165.88658771,454883.15985799,637501.38649596,319551.8373395,367591.54916957,590512.95042374,511345.39358732,589160.58542715,679001.16439692,786225.42549609,576005.18315572,641896.89835917,2478004.047185,104787070.72804,3727928872.8932,68512629036.422,550049564198.39,1296480038311,1243080867540.1,1177942109730.9,1117261015034.5,239906113228.46,85420926864.038
1,3,25.120401337793,25.120401337793,279.03935959072,21848.653666658,348842.40566976,591993.04934987,739159.79426639,1035483.0163335,518966.72518533,596893.81811885,958649.63397311,829980.12926988,956102.28443802,1101672.9788826,1275363.8879269,934221.56975916,1040009.4758894,3409322.6208936,122614318.80995,4345041413.1124,79843186138.484,641014442413.21,1510888855530.1,1448661676444.7,1372753581106.5,1302040969431.7,279584429150.91,99548893756.203
1,3,28.709030100334,28.709030100334,466.24988265998,35157.048159411,556677.78341644,943896.8303744,1177966.7716364,1649401.9928397,826508.51004946,950444.01449481,1526065.6458308,1320972.6644451,1521382.7179765,1752626.8937835,2028462.7044035,1485640.8890796,1652546.1391069,4728092.2821489,141172594.61886,4975692773.3069,91413962964.847,733904196918.69,1729832519767.1,1658589103061.9,1571682577450.2,1490724831168.8,320100665395.98,113975170272.07
1,3,32.297658862876,32.297658862876,729.65447719508,53466.543247957,841072.60466334,1425126.9634656,1777806.101203,2488291.1084842,1246690.4922114,1433416.5502298,2301031.2919502,1991456.9249169,2293187.5121989,2641254.9662848,3056344.8404532,2238166.7344971,2488256.1886217,6449545.4575781,160452193.24133,5619022484.4728,103208843668.52,828589472403.05,1953006348492.9,1872571235451.8,1774452716580.1,1683050737673.2,361398657448.27,128679767279.65
1,3,35.886287625418,35.886287625418,1234.8932619208,87059.774595002,1357317.6914708,2297617.962909,2864537.8832975,4006967.4766589,2007156.7950676,2307277.2462551,3702617.4030744,3203697.4515275,3688150.4875681,4246795.3278841,4912776.7895013,3596939.9004645,3996555.1558706,9379945.660305,181587732.99827,6289198408.6734,115470676244.58,927013999898.45,2184990290025.4,2094999167932.1,1985225106520.9,1882965737135.1,404325994557.99,143964498049.58
1,3,39.47491638796,39.47491638796,2069.3216149555,140383.78070528,2169001.1324968,3667924.3989801,4570181.3305631,6388901.5326162,3199591.816106,3677155.3984333,5898889.6952044,5102690.8443663,5872672.2788321,6760205.7344589,7817844.9446866,5722696.6577137,6355401.0157481,13833477.560463,204716754.66597,6980699218.0625,128091089149.01,1028305499331.8,2423727978336.6,2323901328588.1,2202131717731.5,2088698376301.5,448502406273.35,159693973622.4
1,3,43.063545150502,43.063545150502,3253.7908424481,214291.63576955,3287455.0138072,5554849.3339668,6917884.9761961,9666037.1998507,4839916.5076737,5561254.8500699,8918820.6848119,7713345.7575477,8875228.6956372,10214025.156153,11808872.361112,8642605.8265718,9594764.8878963,19862293.71943,229830267.18542,7691461380.7223,141031004117.79,1132149837715.4,2668478886535.9,2558567664790,2424499699391.9,2299610470288.8,493790860803.16,175819402818.71
1,3,46.652173913043,46.652173913043,5464.523804102,346520.78552856,5267589.6569023,8891366.7684221,11065964.725041,15451572.981582,7734917.4740584,8885438.404306,14244410.777127,12315471.715032,14166076.710989,16297385.714316,18835053.982873,13781416.109849,15293511.700275,30283078.869206,260070765.85958,8441246772.5034,154591876553.84,1240945359938.6,2924889140674.8,2804409399494.7,2657455473601.4,2520563453764.9,541235057125.77,192712406505.36
1,3,50.240802675585,50.240802675585,9182.3939128292,559934.81934395,8430911.8119312,14214916.241824,17679168.219495,24667428.493,12344935.092784,14177091.516878,22717570.021824,19634585.363849,22576754.292232,25963139.045918,29992738.560329,21938892.960626,24335969.766064,46661457.657195,296749761.35367,9225406306.6311,168654020968.94,1353719094074.7,3190661661940.3,3059222772021.4,2898910071581.2,2749575470192.4,590409337522.97,210221425374.21
1,3,53.829431438127,53.829431438127,14504.76445848,857808.94032076,12817938.596762,21591953.19876,26838632.345701,37424416.359629,18724975.373917,21498823.277271,34437200.758346,29755197.791335,34203200.049332,39320031.118971,45405492.478829,33204391.895016,36819984.944851,69166317.468316,339916094.87358,10040166743.655,183144498721.08,1469884213437.7,3464412906673,3321681094985.3,3147606257179.2,2985453998675.8,641057625443.09,228255280743.05
1,3,57.418060200669,57.418060200669,24178.06791819,1377777.5132258,20396786.951746,34319397.454385,42627689.016003,59393706.355711,29708315.584213,34098388.576738,54592485.304377,47152111.698589,54177914.491074,62254119.059918,71851916.458176,52525815.423382,58220320.255257,107523701.52816,399381269.46708,10916797434.392,198425547662.86,1592273817579.3,3752797092779.6,3598156391573.6,3409577800310,3233918781534.1,694407445656.08,247251046887.25
1,3,61.006688963211,61.006688963211,40738.015611375,2230764.0472883,32693576.635051,54939621.367922,68183064.374527,94911640.090333,47457504.081233,54449817.950701,87123725.003011,75214437.097569,86376836.364727,99195774.80451,114414979.64653,83603693.21806,92619722.448339,168940035.12555,481816209.08735,11857890612.224,214388941136.63,1719964232832.5,4053620105970.2,3886539075294.7,3682822542460.1,3493068515136.8,750050069523.37,267063192701.93
1,3,64.595317725753,64.595317725753,64637.435755707,3429280.5113119,49851016.54599,83682740.533534,103781867.80092,144349492.74159,72155398.599484,82759368.917768,132351691.15475,114212676.27867,131102292.43979,150481399.97656,173468534.26954,126704075.92569,140304234.40867,253893140.76288,587472451.11112,12857442342.917,230915074914.14,1851992177334.1,4364610606742.2,4184651091322.9,3965276431775.7,3760945389257.2,807565086706.7,287542026799.62
1,3,68.183946488294,68.183946488294,106964.02952594,5471690.1342249,78790357.50498,132092767.17766,163677624.6518,227427946.83727,113639744.53763,130285396.61035,208216173.23295,179583168.2483,206015650.33457,236308531.59071,272198019.4279,198713002.79146,219911944.12263,395325807.61893,748261320.06513,13977980880.147,248440037961.46,1991607927359.6,4693351702336.6,4499736431879.1,4263789587444.6,4044036183291.9,868343244343.26,309182743656.33
1,3,71.772575250836,71.772575250836,180701.56807736,8875964.6626004,126460718.23966,211692694.19972,262035148.39314,363631972.0858,181608525.44581,208097732.17693,332280694.13442,286385276.99571,328277460.18751,376211272.47608,432907824.31413,315814520.22921,349232586.46053,624429622.81493,993474327.39088,15252482796.006,266905473515.85,2138111233238.2,5038121751679.6,4830120188183.5,4576762109812.5,4340814158760.1,932054838105.81,331867953113.21
1,3,75.361204013378,75.361204013378,287948.73722358,13689611.614919,193355157.8554,323255156.83438,399760355.26042,554125970.17851,276625022.47649,316818208.29684,505475343.10503,435376595.98762,498698753.17684,571044508.48731,656484070.8326,478606077.32854,528867458.62688,942073708.17047,1323494119.1747,16671593690.958,286129047484.57,2290036067668.9,5395465221065.4,5172489341843.4,4901054786593.4,4648302030887.4,998060623198.24,355370045696.7
