x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15
62.354,72,0,0,484.12059424398,31254.364954212,92173.61471722,45278.512813276,50348.635504949,53789.044440676,1921168.4414178,194120570.64339,2301842268.942,19462165006.101,88528502157.624,39313067459.819,36221163706.951,8047922983.4962,2745365707.2376
62.354,72,3.5886287625418,3.5886287625418,863.30933740471,79341.099841443,318827.32057443,159173.74217835,177264.75564566,189006.93808044,6252532.3426631,631699261.5671,7534860060.2622,64105556679.673,296255281668.68,136495488690.09,128942819766.99,27812104431.876,9836670738.7
62.354,72,7.1772575250836,7.1772575250836,1419.0317992191,142271.92074821,604885.39271099,302937.10037023,337547.0938672,358893.95603336,10662467.056929,1073239666.7873,12819682476.073,109191254860.8,505708664017.62,234068729914.68,221831102343.59,47693521669.078,16941496659.277
62.354,72,10.765886287625,10.765886287625,2161.0337889567,220938.89528668,954246.15261114,478508.15322704,533344.21594597,565673.62946249,15154824.155529,1518837298.1121,18157047283.422,154724570876.09,716926061769.23,332068700844.51,314928029665.08,67697185564.685,24062897624.282
62.354,72,14.354515050167,14.354515050167,3579.8509051788,359069.26745808,1553120.9445815,778812.81600909,867844.89200033,916258.8764534,19931321.391751,1975291017.4491,23618392424.445,201281691409.03,932726597088.02,432071144617.83,409817997739.81,88098929333.03,31317295459.093
62.354,72,17.943143812709,17.943143812709,5750.4340888589,561603.14866,2423159.5501867,1214528.5698134,1352684.3777034,1422477.5045588,24981725.941255,2439864196.0424,29172270597.319,248621550093.39,1152133590964.3,533731377964.06,506267162191.21,108835333486.73,38689893138.684
62.354,72,21.531772575251,21.531772575251,8710.1814392704,831191.55536347,3575176.6207041,1791021.9752215,1993781.7449702,2090416.1821975,30312072.134257,2912396879.922,34816834506.046,296729007822.89,1375079514028.9,637019809886.49,604249186789.52,129900768602.91,46178794199.135
62.354,72,25.120401337793,25.120401337793,14276.24956119,1314617.1750085,5621600.5447765,2813575.3344819,3129444.7492888,3269639.863876,36462336.733893,3403445813.3457,40672001319.272,346626281707.03,1606309991953.6,744141202180.82,705861754778.24,151745848617.35,53944629231.519
62.354,72,28.709030100334,28.709030100334,22959.899590161,2041700.1336432,8677249.4723318,4338624.8497946,4821394.0370472,5023120.5243621,43469007.460549,3908706477.9698,46686011535.197,397873729429.79,1843794249380,854158839734.6,810220753378.38,174181153371.15,61920261403.176
62.354,72,32.297658862876,32.297658862876,34905.99873072,3020292.0789664,12771524.671059,6380550.9337497,7085287.1055029,7366773.271166,51343557.593725,4427324216.8179,52848387633.556,450382030419.28,2087118531037.3,966881169593.83,917144625147.51,197167686067.72,70091832683.265
62.354,72,35.886287625418,35.886287625418,56826.321024431,4740056.848754,19901229.663303,9930967.8549025,11016248.891201,11428604.831616,61644913.686943,4974659590.8574,59321510561.831,505528799819.21,2342663344726.6,1085263781472,1029436950460.1,221308164544.87,78673616081.559
62.354,72,39.47491638796,39.47491638796,91636.396639324,7369619.2454694,30710732.784414,15306232.366256,16959970.674967,17561254.559968,74759148.786381,5545372442.906,66034979386.047,562712154148.61,2607638583424.7,1208014158439.4,1145871835358.4,246339096906.88,87571947762.405
62.354,72,43.063545150502,43.063545150502,139901.00592147,10931818.808338,45274955.508594,22542018.623625,24954296.645041,25802270.459706,90711319.536588,6137363620.5435,72963025131.384,621712280168.81,2881025497438.6,1334660346604.6,1266001606202.8,272164244607.73,96752615773.339
62.354,72,46.652173913043,46.652173913043,226326.02375551,17050582.793143,70039160.539158,34824171.652261,38502544.224745,39746250.241087,114201400.57546,6773445025.8139,80310690685.796,684256350949.63,3170815421856.9,1468902790474.2,1393335528797.9,299537863394.61,106483751039.44
62.354,72,50.240802675585,50.240802675585,365986.97106056,26552262.218562,108099732.45961,53667358.137991,59254155.182975,61070743.533793,147263284.01365,7449710042.3637,88000196489.627,749672195431.79,3473887694792.7,1609295071542.8,1526501220720.7,328164846468.58,116660444129.9
62.354,72,53.829431438127,53.829431438127,561097.7636379,39499872.762516,159613958.77838,79141294.46788,87277603.4332,89838495.525178,189926310.47534,8162143637.4963,95982658143.792,817542949043.16,3788310376112.5,1754942181628.8,1664649707346.9,357862680550.23,127217812756.1
62.354,72,57.418060200669,57.418060200669,902257.04415786,61244072.483342,245139226.26878,121348604.60603,133622342.84327,137331900.12962,256550309.32932,8949371979.2121,104509581139.58,889949090914.08,4123685639674,1910287369239.2,1811993093685.7,389536361538.73,138477569586.41
